block_id,task_id,activity_type,dept,asset_type,section_id,line_type,km,asset_age_years,days_since_maintenance,severity,crew_type,crew_experience_band,tasks_in_block,block_permits,start_hour,is_night,month,is_monsoon,access_difficulty,nominal_duration_min,actual_duration_min,overran,overrun_min,overrun_reason
H000016,TRD-063,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH02,single,22.52,3.0,717,routine,ohe_team,A,2,power_block,11,0,7,1,easy,75,55,0,0,
H000017,SNT-024,SNT_POINT_OVERHAUL,SNT,point_machine,BRCH03,single,37.62,22.7,208,critical,signal_team,B,4,disconnection|traffic_block,17,0,10,0,hard,75,180,1,105,material
H000018,TRD-034,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN10,double,145.63,8.9,495,important,ohe_team,A,2,power_block,21,0,11,0,easy,75,45,0,0,
H000019,SNT-029,SNT_TRACK_CIRCUIT,SNT,track_circuit,MAIN04,double,58.01,26.0,230,critical,signal_team,B,3,disconnection,19,0,1,0,easy,60,55,0,0,
H000020,ENG-004,ENG_WELD_REPAIR,ENG,track_segment,BRCH02,single,24.98,21.1,330,critical,track_gang,B,2,traffic_block,23,1,3,0,easy,75,65,0,0,
H000021,SNT-020,SNT_AXLE_COUNTER,SNT,track_circuit,MAIN03,double,41.09,12.7,216,routine,signal_team,B,5,disconnection|traffic_block,15,0,12,0,hard,75,80,1,5,late_start
H000022,SNT-028,SNT_CABLE_WORK,SNT,signal,MAIN10,double,145.81,15.1,62,routine,signal_team,B,2,traffic_block,1,1,5,0,moderate,120,100,0,0,
H000023,ENG-013,ENG_WELD_REPAIR,ENG,track_segment,BRCH02,single,18.41,23.9,199,important,track_gang,B,4,traffic_block,17,0,10,0,easy,75,60,0,0,
H000024,ENG-069,ENG_TAMPING,ENG,track_segment,MAIN10,double,140.16,18.9,184,important,track_machine,B,4,power_block|traffic_block,18,0,8,1,moderate,120,135,1,15,traffic_clearance
H000025,ENG-015,ENG_BALLAST_SCREENING,ENG,track_segment,BRCH01,single,1.03,22.6,192,routine,track_machine,C,1,power_block|traffic_block,9,0,7,1,easy,210,220,1,10,late_start
H000026,ENG-066,ENG_WELD_REPAIR,ENG,track_segment,BRCH04,single,44.44,16.9,370,critical,track_gang,B,3,traffic_block,17,0,2,0,moderate,75,75,0,0,
H000027,ENG-065,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN04,double,54.84,22.9,388,critical,track_machine,A,2,power_block|traffic_block,2,1,5,0,hard,240,240,0,0,
H000028,ENG-070,ENG_TAMPING,ENG,track_segment,MAIN03,double,38.08,27.7,27,important,track_machine,B,2,power_block|traffic_block,6,0,6,1,easy,120,105,0,0,
H000029,ENG-024,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN07,double,91.27,24.1,368,critical,track_machine,C,4,power_block|traffic_block,10,0,4,0,hard,240,275,1,35,traffic_clearance
H000030,TRD-057,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN02,double,24.34,2.1,499,critical,ohe_team,B,4,power_block,10,0,10,0,moderate,105,90,0,0,
H000031,ENG-052,ENG_WELD_REPAIR,ENG,track_segment,MAIN11,double,158.13,17.6,133,important,track_gang,B,4,traffic_block,22,0,11,0,hard,75,155,1,80,material
H000032,TRD-005,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,49.05,0.9,736,critical,ohe_team,C,1,power_block,20,0,2,0,easy,75,60,0,0,
H000033,TRD-027,TRD_MAST_REPAIR,TRD,ohe_mast,DIV01,single,118.76,2.7,783,critical,ohe_team,C,4,power_block,7,0,6,1,easy,90,95,1,5,late_start
H000034,ENG-059,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN08,double,115.6,25.2,348,critical,track_machine,C,5,power_block|traffic_block,12,0,9,1,easy,210,280,1,70,traffic_clearance
H000035,ENG-060,ENG_RAIL_RENEWAL,ENG,track_segment,MAIN07,double,97.77,8.6,252,important,track_gang,B,5,power_block|traffic_block,14,0,7,1,easy,150,385,1,235,weather
H000036,ENG-063,ENG_RAIL_RENEWAL,ENG,track_segment,BRCH03,single,42.71,25.7,303,critical,track_gang,B,3,power_block|traffic_block,10,0,5,0,moderate,195,230,1,35,scope
H000037,TRD-049,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN07,double,95.81,16.1,302,routine,ohe_team,C,3,power_block,15,0,7,1,easy,90,75,0,0,
H000038,ENG-049,ENG_WELD_REPAIR,ENG,track_segment,MAIN11,double,167.52,12.1,194,important,track_gang,B,1,traffic_block,18,0,11,0,hard,75,55,0,0,
H000039,ENG-018,ENG_BALLAST_SCREENING,ENG,track_segment,DIV01,single,113.72,6.7,305,critical,track_machine,A,1,power_block|traffic_block,19,0,7,1,easy,240,195,0,0,
H000040,ENG-068,ENG_TAMPING,ENG,track_segment,MAIN08,double,106.63,20.2,186,routine,track_machine,A,2,power_block|traffic_block,23,1,11,0,easy,120,85,0,0,
H000041,ENG-019,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN04,double,59.74,28.1,300,important,track_machine,A,2,power_block|traffic_block,17,0,9,1,easy,225,205,0,0,
H000042,ENG-063,ENG_RAIL_RENEWAL,ENG,track_segment,BRCH03,single,42.71,25.7,303,critical,track_gang,C,1,power_block|traffic_block,9,0,12,0,moderate,195,260,1,65,scope
H000043,TRD-031,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,46.32,16.6,546,important,ohe_team,B,1,power_block,14,0,11,0,easy,90,65,0,0,
H000044,ENG-068,ENG_TAMPING,ENG,track_segment,MAIN08,double,106.63,20.2,186,routine,track_machine,B,1,power_block|traffic_block,12,0,3,0,easy,120,75,0,0,
H000045,TRD-050,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,44.22,21.1,135,important,ohe_team,B,2,power_block,15,0,4,0,easy,90,60,0,0,
H000046,TRD-001,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN08,double,115.82,5.6,381,important,ohe_team,B,2,power_block,4,1,8,1,moderate,75,75,0,0,
H000047,ENG-075,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN06,double,79.02,2.0,252,important,track_machine,C,5,power_block|traffic_block,23,1,10,0,moderate,240,265,1,25,traffic_clearance
H000048,ENG-064,ENG_TAMPING,ENG,track_segment,MAIN11,double,161.09,13.6,283,important,track_machine,C,3,power_block|traffic_block,4,1,6,1,moderate,120,155,1,35,scope
H000049,ENG-064,ENG_TAMPING,ENG,track_segment,MAIN11,double,161.09,13.6,283,important,track_machine,A,1,power_block|traffic_block,6,0,8,1,moderate,120,110,0,0,
H000050,ENG-056,ENG_RAIL_RENEWAL,ENG,track_segment,MAIN07,double,99.55,18.2,75,routine,track_gang,B,1,power_block|traffic_block,18,0,10,0,moderate,195,140,0,0,
H000051,SNT-027,SNT_CABLE_WORK,SNT,signal,MAIN04,double,57.43,30.5,321,critical,signal_team,B,2,traffic_block,12,0,9,1,easy,105,95,0,0,
H000052,ENG-003,ENG_WELD_REPAIR,ENG,track_segment,BRCH02,single,26.3,28.6,359,critical,track_gang,C,2,traffic_block,10,0,8,1,moderate,90,100,1,10,traffic_clearance
H000053,ENG-047,ENG_BALLAST_SCREENING,ENG,track_segment,BRCH03,single,42.41,11.6,395,important,track_machine,B,2,power_block|traffic_block,19,0,10,0,moderate,210,145,0,0,
H000054,ENG-041,ENG_WELD_REPAIR,ENG,track_segment,MAIN08,double,106.52,29.8,172,routine,track_gang,A,1,traffic_block,22,0,7,1,easy,75,65,0,0,
H000055,TRD-059,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH02,single,26.91,29.2,387,important,ohe_team,B,4,power_block,19,0,4,0,easy,90,70,0,0,
H000056,ENG-019,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN04,double,59.74,28.1,300,important,track_machine,C,5,power_block|traffic_block,6,0,7,1,easy,225,265,1,40,late_start
H000057,ENG-021,ENG_BALLAST_SCREENING,ENG,track_segment,BRCH02,single,18.85,28.7,353,critical,track_machine,B,2,power_block|traffic_block,20,0,1,0,easy,195,170,0,0,
H000058,SNT-020,SNT_AXLE_COUNTER,SNT,track_circuit,MAIN03,double,41.09,12.7,216,routine,signal_team,B,4,disconnection|traffic_block,16,0,10,0,moderate,75,65,0,0,
H000059,SNT-033,SNT_SIGNAL_TESTING,SNT,signal,MAIN01,double,4.09,11.5,299,critical,signal_team,C,2,disconnection,21,0,9,1,easy,45,50,1,5,scope
H000060,ENG-033,ENG_RAIL_RENEWAL,ENG,track_segment,MAIN09,double,130.15,26.1,34,routine,track_gang,B,2,power_block|traffic_block,20,0,11,0,moderate,165,145,0,0,
H000061,SNT-001,SNT_TRACK_CIRCUIT,SNT,track_circuit,MAIN01,double,0.88,3.0,227,important,signal_team,A,2,disconnection,8,0,5,0,moderate,60,35,0,0,
H000062,ENG-062,ENG_TAMPING,ENG,track_segment,MAIN11,double,173.52,31.5,67,routine,track_machine,B,2,power_block|traffic_block,1,1,1,0,easy,120,110,0,0,
H000063,TRD-071,TRD_CONTACT_WIRE,TRD,ohe_section,MAIN03,double,45.07,0.6,420,important,ohe_tower_car,A,1,power_block|traffic_block,21,0,11,0,easy,195,110,0,0,
H000064,SNT-010,SNT_TRACK_CIRCUIT,SNT,track_circuit,MAIN03,double,36.42,15.8,373,important,signal_team,A,2,disconnection,15,0,4,0,easy,60,35,0,0,
H000065,TRD-048,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN08,double,116.54,15.3,429,critical,ohe_team,C,1,power_block,2,1,10,0,moderate,90,90,0,0,
H000066,ENG-007,ENG_TAMPING,ENG,track_segment,MAIN06,double,86.45,31.2,298,critical,track_machine,A,3,power_block|traffic_block,21,0,5,0,moderate,105,95,0,0,
H000067,ENG-011,ENG_TAMPING,ENG,track_segment,MAIN11,double,159.07,20.4,99,routine,track_machine,A,5,power_block|traffic_block,15,0,10,0,moderate,120,100,0,0,
H000068,ENG-015,ENG_BALLAST_SCREENING,ENG,track_segment,BRCH01,single,1.03,22.6,192,routine,track_machine,B,2,power_block|traffic_block,19,0,1,0,hard,210,170,0,0,
H000069,SNT-011,SNT_SIGNAL_TESTING,SNT,signal,MAIN03,double,37.09,8.1,228,important,signal_team,C,2,disconnection,8,0,11,0,moderate,30,40,1,10,late_start
H000070,TRD-049,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN07,double,95.81,16.1,302,routine,ohe_team,B,4,power_block,12,0,10,0,moderate,90,60,0,0,
H000071,TRD-016,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN11,double,151.66,6.8,577,important,ohe_team,B,2,power_block,14,0,4,0,hard,90,75,0,0,
H000072,ENG-032,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN03,double,43.5,18.8,334,important,track_machine,B,4,power_block|traffic_block,19,0,4,0,moderate,225,315,1,90,traffic_clearance
H000073,SNT-009,SNT_SIGNAL_TESTING,SNT,signal,MAIN09,double,126.6,30.2,80,routine,signal_team,C,2,disconnection,12,0,8,1,easy,30,25,0,0,
H000074,ENG-065,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN04,double,54.84,22.9,388,critical,track_machine,A,2,power_block|traffic_block,7,0,4,0,moderate,240,205,0,0,
H000075,TRD-011,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN05,double,65.81,28.0,783,critical,ohe_team,A,1,power_block,18,0,10,0,easy,90,115,1,25,weather
H000076,SNT-008,SNT_POINT_OVERHAUL,SNT,point_machine,MAIN04,double,49.4,26.7,5,routine,signal_team,B,1,disconnection|traffic_block,17,0,5,0,moderate,90,75,0,0,
H000077,TRD-002,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN01,double,14.66,21.0,234,routine,ohe_team,B,3,power_block,17,0,6,1,easy,90,70,0,0,
H000078,SNT-002,SNT_SIGNAL_TESTING,SNT,signal,MAIN02,double,30.09,20.7,89,important,signal_team,A,2,disconnection,19,0,4,0,easy,30,15,0,0,
H000079,TRD-050,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,44.22,21.1,135,important,ohe_team,A,2,power_block,13,0,6,1,moderate,90,65,0,0,
H000080,TRD-005,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,49.05,0.9,736,critical,ohe_team,B,2,power_block,15,0,1,0,easy,75,55,0,0,
H000081,ENG-008,ENG_TAMPING,ENG,track_segment,MAIN10,double,145.33,13.4,243,critical,track_machine,B,4,power_block|traffic_block,9,0,11,0,moderate,135,115,0,0,
H000082,ENG-062,ENG_TAMPING,ENG,track_segment,MAIN11,double,173.52,31.5,67,routine,track_machine,B,4,power_block|traffic_block,4,1,4,0,easy,120,105,0,0,
H000083,TRD-010,TRD_TENSIONING,TRD,ohe_section,MAIN01,double,5.24,15.9,261,critical,ohe_tower_car,B,2,power_block|traffic_block,6,0,7,1,moderate,105,100,0,0,
H000084,TRD-019,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN04,double,47.28,20.7,470,critical,ohe_team,B,1,power_block,12,0,10,0,moderate,75,55,0,0,
H000085,ENG-075,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN06,double,79.02,2.0,252,important,track_machine,A,1,power_block|traffic_block,16,0,1,0,moderate,240,140,0,0,
H000086,TRD-064,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,44.22,14.2,640,routine,ohe_team,A,1,power_block,10,0,4,0,easy,75,40,0,0,
H000087,SNT-030,SNT_TRACK_CIRCUIT,SNT,track_circuit,MAIN08,double,106.07,31.0,236,important,signal_team,C,3,disconnection,21,0,7,1,hard,60,125,1,65,crew
H000088,TRD-008,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN10,double,138.72,31.9,747,critical,ohe_team,A,1,power_block,8,0,2,0,easy,90,60,0,0,
H000089,SNT-017,SNT_POINT_OVERHAUL,SNT,point_machine,DIV01,single,104.98,30.1,260,critical,signal_team,A,3,disconnection|traffic_block,15,0,1,0,easy,90,65,0,0,
H000090,TRD-065,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN07,double,96.32,6.4,262,routine,ohe_team,B,1,power_block,17,0,5,0,easy,75,70,0,0,
H000091,TRD-002,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN01,double,14.66,21.0,234,routine,ohe_team,B,2,power_block,12,0,6,1,easy,90,70,0,0,
H000092,TRD-004,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN11,double,165.59,27.9,266,important,ohe_team,B,1,power_block,14,0,8,1,moderate,75,60,0,0,
H000093,ENG-014,ENG_TAMPING,ENG,track_segment,MAIN06,double,87.89,9.3,290,critical,track_machine,B,3,power_block|traffic_block,2,1,6,1,easy,105,115,1,10,traffic_clearance
H000094,TRD-046,TRD_MAST_REPAIR,TRD,ohe_mast,DIV01,single,116.32,11.3,398,routine,ohe_team,B,3,power_block,7,0,2,0,moderate,90,75,0,0,
H000095,ENG-051,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN11,double,154.21,26.8,302,critical,track_machine,C,3,power_block|traffic_block,9,0,4,0,moderate,240,310,1,70,late_start
H000096,TRD-037,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN11,double,161.43,24.0,534,critical,ohe_team,C,2,power_block,11,0,11,0,easy,75,110,1,35,scope
H000097,ENG-020,ENG_WELD_REPAIR,ENG,track_segment,MAIN02,double,25.16,9.3,331,important,track_gang,A,2,traffic_block,22,0,7,1,moderate,75,45,0,0,
H000098,TRD-058,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH01,single,13.5,25.9,343,routine,ohe_team,C,2,power_block,6,0,8,1,easy,75,75,0,0,
H000099,ENG-041,ENG_WELD_REPAIR,ENG,track_segment,MAIN08,double,106.52,29.8,172,routine,track_gang,B,1,traffic_block,7,0,5,0,easy,75,50,0,0,
H000100,ENG-025,ENG_RAIL_RENEWAL,ENG,track_segment,BRCH01,single,12.29,10.3,275,critical,track_gang,B,1,power_block|traffic_block,22,0,6,1,easy,195,165,0,0,
H000101,SNT-015,SNT_CABLE_WORK,SNT,signal,MAIN01,double,14.39,30.9,290,critical,signal_team,B,4,traffic_block,21,0,12,0,hard,135,145,1,10,traffic_clearance
H000102,TRD-014,TRD_CONTACT_WIRE,TRD,ohe_section,MAIN05,double,69.21,12.3,235,important,ohe_tower_car,B,1,power_block|traffic_block,18,0,4,0,moderate,180,220,1,40,traffic_clearance
H000103,ENG-065,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN04,double,54.84,22.9,388,critical,track_machine,C,2,power_block|traffic_block,5,0,6,1,hard,240,360,1,120,late_start
H000104,TRD-053,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,46.98,19.5,753,critical,ohe_team,C,2,power_block,20,0,5,0,moderate,90,70,0,0,
H000105,TRD-058,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH01,single,13.5,25.9,343,routine,ohe_team,A,1,power_block,2,1,10,0,easy,75,45,0,0,
H000106,TRD-017,TRD_OHE_INSULATOR,TRD,ohe_section,MAIN11,double,169.84,28.6,228,important,ohe_team,A,1,power_block,8,0,8,1,moderate,45,30,0,0,
H000107,SNT-031,SNT_SIGNAL_TESTING,SNT,signal,MAIN03,double,41.46,22.2,269,critical,signal_team,B,3,disconnection,15,0,4,0,easy,45,35,0,0,
H000108,TRD-040,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN02,double,23.63,7.9,596,important,ohe_team,C,3,power_block,17,0,8,1,hard,90,100,1,10,late_start
H000109,TRD-031,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,46.32,16.6,546,important,ohe_team,A,3,power_block,21,0,1,0,moderate,90,60,0,0,
H000110,TRD-012,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,48.94,9.7,786,critical,ohe_team,A,3,power_block,8,0,8,1,hard,75,80,1,5,late_start
H000111,TRD-006,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH03,single,35.93,28.5,714,important,ohe_team,B,3,power_block,3,1,10,0,easy,90,75,0,0,
H000112,TRD-012,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH04,single,48.94,9.7,786,critical,ohe_team,B,4,power_block,16,0,10,0,easy,75,55,0,0,
H000113,ENG-026,ENG_TAMPING,ENG,track_segment,MAIN11,double,177.25,10.6,349,critical,track_machine,C,5,power_block|traffic_block,20,0,9,1,moderate,135,175,1,40,scope
H000114,SNT-021,SNT_SIGNAL_TESTING,SNT,signal,BRCH03,single,36.3,27.6,296,critical,signal_team,B,1,disconnection,14,0,3,0,moderate,45,65,1,20,material
H000115,ENG-055,ENG_WELD_REPAIR,ENG,track_segment,MAIN02,double,20.37,31.7,310,important,track_gang,C,3,traffic_block,7,0,7,1,easy,75,65,0,0,
H000116,SNT-004,SNT_CABLE_WORK,SNT,signal,MAIN04,double,53.89,14.5,284,critical,signal_team,B,3,traffic_block,2,1,8,1,hard,120,150,1,30,late_start
H000117,ENG-044,ENG_RAIL_RENEWAL,ENG,track_segment,MAIN11,double,171.4,13.6,225,routine,track_gang,B,1,power_block|traffic_block,18,0,1,0,easy,165,110,0,0,
H000118,TRD-017,TRD_OHE_INSULATOR,TRD,ohe_section,MAIN11,double,169.84,28.6,228,important,ohe_team,B,2,power_block,15,0,4,0,moderate,45,35,0,0,
H000119,TRD-051,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH03,single,40.91,21.2,676,important,ohe_team,A,1,power_block,0,1,12,0,hard,90,75,0,0,
H000120,ENG-072,ENG_TAMPING,ENG,track_segment,MAIN09,double,131.92,28.8,375,critical,track_machine,A,2,power_block|traffic_block,11,0,4,0,moderate,105,130,1,25,crew
H000121,TRD-065,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN07,double,96.32,6.4,262,routine,ohe_team,B,2,power_block,3,1,6,1,easy,75,60,0,0,
H000122,ENG-031,ENG_WELD_REPAIR,ENG,track_segment,BRCH01,single,3.54,12.8,308,important,track_gang,A,2,traffic_block,21,0,7,1,moderate,75,75,0,0,
H000123,TRD-054,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN07,double,98.01,13.3,494,routine,ohe_team,B,5,power_block,12,0,3,0,moderate,90,70,0,0,
H000124,ENG-024,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN07,double,91.27,24.1,368,critical,track_machine,B,5,power_block|traffic_block,5,0,3,0,moderate,240,265,1,25,traffic_clearance
H000125,TRD-049,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN07,double,95.81,16.1,302,routine,ohe_team,C,2,power_block,2,1,2,0,hard,90,105,1,15,traffic_clearance
H000126,TRD-069,TRD_OHE_INSULATOR,TRD,ohe_section,BRCH01,single,2.9,26.1,330,critical,ohe_team,C,3,power_block,15,0,2,0,moderate,45,60,1,15,late_start
H000127,ENG-064,ENG_TAMPING,ENG,track_segment,MAIN11,double,161.09,13.6,283,important,track_machine,C,2,power_block|traffic_block,6,0,9,1,easy,120,135,1,15,scope
H000128,ENG-004,ENG_WELD_REPAIR,ENG,track_segment,BRCH02,single,24.98,21.1,330,critical,track_gang,A,3,traffic_block,7,0,5,0,easy,75,50,0,0,
H000129,SNT-023,SNT_TRACK_CIRCUIT,SNT,track_circuit,DIV01,single,113.93,27.2,273,important,signal_team,B,1,disconnection,8,0,7,1,hard,45,60,1,15,material
H000130,ENG-023,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN09,double,121.66,9.0,268,routine,track_machine,B,1,power_block|traffic_block,2,1,10,0,moderate,195,180,0,0,
H000131,TRD-063,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH02,single,22.52,3.0,717,routine,ohe_team,C,3,power_block,13,0,11,0,moderate,75,65,0,0,
H000132,TRD-057,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN02,double,24.34,2.1,499,critical,ohe_team,B,3,power_block,20,0,5,0,moderate,105,90,0,0,
H000133,ENG-018,ENG_BALLAST_SCREENING,ENG,track_segment,DIV01,single,113.72,6.7,305,critical,track_machine,C,1,power_block|traffic_block,8,0,2,0,moderate,240,255,1,15,late_start
H000134,SNT-019,SNT_CABLE_WORK,SNT,signal,MAIN07,double,89.99,26.7,312,critical,signal_team,B,1,traffic_block,3,1,9,1,easy,105,100,0,0,
H000135,ENG-026,ENG_TAMPING,ENG,track_segment,MAIN11,double,177.25,10.6,349,critical,track_machine,B,4,power_block|traffic_block,23,1,9,1,moderate,135,195,1,60,traffic_clearance
H000136,SNT-022,SNT_SIGNAL_TESTING,SNT,signal,MAIN11,double,163.12,14.4,190,important,signal_team,B,3,disconnection,1,1,6,1,hard,30,35,1,5,late_start
H000137,TRD-028,TRD_CONTACT_WIRE,TRD,ohe_section,DIV01,single,108.59,15.6,333,important,ohe_tower_car,C,1,power_block|traffic_block,10,0,11,0,easy,180,115,0,0,
H000138,ENG-055,ENG_WELD_REPAIR,ENG,track_segment,MAIN02,double,20.37,31.7,310,important,track_gang,B,3,traffic_block,17,0,2,0,easy,75,55,0,0,
H000139,TRD-009,TRD_MAST_REPAIR,TRD,ohe_mast,DIV01,single,117.14,12.8,668,important,ohe_team,A,2,power_block,22,0,4,0,moderate,90,55,0,0,
H000140,SNT-031,SNT_SIGNAL_TESTING,SNT,signal,MAIN03,double,41.46,22.2,269,critical,signal_team,B,3,disconnection,10,0,4,0,moderate,45,50,1,5,traffic_clearance
H000141,TRD-063,TRD_MAST_REPAIR,TRD,ohe_mast,BRCH02,single,22.52,3.0,717,routine,ohe_team,B,1,power_block,1,1,2,0,easy,75,55,0,0,
H000142,ENG-056,ENG_RAIL_RENEWAL,ENG,track_segment,MAIN07,double,99.55,18.2,75,routine,track_gang,A,5,power_block|traffic_block,15,0,12,0,easy,195,215,1,20,scope
H000143,ENG-010,ENG_RAIL_RENEWAL,ENG,track_segment,MAIN10,double,146.84,3.4,301,critical,track_gang,B,2,power_block|traffic_block,8,0,3,0,hard,180,200,1,20,traffic_clearance
H000144,ENG-054,ENG_TAMPING,ENG,track_segment,MAIN02,double,24.44,17.5,202,important,track_machine,A,2,power_block|traffic_block,7,0,1,0,moderate,105,80,0,0,
H000145,ENG-009,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN08,double,104.0,30.1,389,important,track_machine,A,5,power_block|traffic_block,1,1,11,0,easy,225,190,0,0,
H000146,ENG-067,ENG_BALLAST_SCREENING,ENG,track_segment,MAIN01,double,5.95,4.3,24,routine,track_machine,C,3,power_block|traffic_block,12,0,3,0,moderate,240,215,0,0,
H000147,ENG-041,ENG_WELD_REPAIR,ENG,track_segment,MAIN08,double,106.52,29.8,172,routine,track_gang,C,2,traffic_block,0,1,6,1,easy,75,85,1,10,late_start
H000148,SNT-009,SNT_SIGNAL_TESTING,SNT,signal,MAIN09,double,126.6,30.2,80,routine,signal_team,B,5,disconnection,19,0,5,0,moderate,30,25,0,0,
