asset_id,month_index,asset_type,dept,section_id,line_type,age_years,days_since_maintenance,maintenance_interval_days,overdue_ratio,annual_gmt,criticality,failures_to_date,months_since_last_defect,season,is_monsoon,defect_within_30d,drainage_quality,formation_condition,true_hazard
TRA00002,7,track_segment,ENG,MAIN01,double,31.38,6,180,0.033,58.2,2,5,0,monsoon,1,0,0.66,0.904,0.0007
TRA00002,8,track_segment,ENG,MAIN01,double,31.47,36,180,0.2,58.2,2,5,1,monsoon,1,0,0.66,0.904,0.0289
TRA00002,9,track_segment,ENG,MAIN01,double,31.55,66,180,0.367,58.2,2,5,2,post_monsoon,0,0,0.66,0.904,0.0641
TRA00002,10,track_segment,ENG,MAIN01,double,31.63,96,180,0.533,58.2,2,5,3,post_monsoon,0,0,0.66,0.904,0.1356
TRA00002,11,track_segment,ENG,MAIN01,double,31.72,126,180,0.7,58.2,2,5,4,post_monsoon,0,0,0.66,0.904,0.2279
TRA00002,12,track_segment,ENG,MAIN01,double,31.8,156,180,0.867,58.2,2,5,5,winter,0,1,0.66,0.904,0.3339
TRA00002,13,track_segment,ENG,MAIN01,double,31.88,7,180,0.039,58.2,2,6,0,winter,0,0,0.66,0.904,0.0006
TRA00002,14,track_segment,ENG,MAIN01,double,31.97,37,180,0.206,58.2,2,6,1,winter,0,0,0.66,0.904,0.0211
TRA00002,15,track_segment,ENG,MAIN01,double,32.05,67,180,0.372,58.2,2,6,2,summer,0,1,0.66,0.904,0.0717
TRA00002,16,track_segment,ENG,MAIN01,double,32.13,4,180,0.022,58.2,2,7,0,summer,0,0,0.66,0.904,0.0002
TRA00002,17,track_segment,ENG,MAIN01,double,32.22,34,180,0.189,58.2,2,7,1,summer,1,1,0.66,0.904,0.03
TRA00002,18,track_segment,ENG,MAIN01,double,32.3,16,180,0.089,58.2,2,8,0,monsoon,1,0,0.66,0.904,0.0066
TRA00002,19,track_segment,ENG,MAIN01,double,32.38,46,180,0.256,58.2,2,8,1,monsoon,1,0,0.66,0.904,0.06
TRA00002,20,track_segment,ENG,MAIN01,double,32.47,76,180,0.422,58.2,2,8,2,monsoon,1,0,0.66,0.904,0.1677
TRA00002,21,track_segment,ENG,MAIN01,double,32.55,106,180,0.589,58.2,2,8,3,post_monsoon,0,0,0.66,0.904,0.2051
TRA00002,22,track_segment,ENG,MAIN01,double,32.63,136,180,0.756,58.2,2,8,4,post_monsoon,0,1,0.66,0.904,0.3269
TRA00002,23,track_segment,ENG,MAIN01,double,32.72,16,180,0.089,58.2,2,9,0,post_monsoon,0,0,0.66,0.904,0.0045
TRA00003,0,track_segment,ENG,MAIN01,double,22.8,20,180,0.111,58.2,4,2,6,winter,0,0,0.925,0.402,0.0038
TRA00003,1,track_segment,ENG,MAIN01,double,22.88,50,180,0.278,58.2,4,2,7,winter,0,0,0.925,0.402,0.0259
TRA00003,2,track_segment,ENG,MAIN01,double,22.97,80,180,0.444,58.2,4,2,8,winter,0,0,0.925,0.402,0.0674
TRA00003,3,track_segment,ENG,MAIN01,double,23.05,110,180,0.611,58.2,4,2,9,summer,0,0,0.925,0.402,0.1259
TRA00003,4,track_segment,ENG,MAIN01,double,23.13,140,180,0.778,58.2,4,2,10,summer,0,1,0.925,0.402,0.1969
TRA00003,5,track_segment,ENG,MAIN01,double,23.22,10,180,0.056,58.2,4,3,0,summer,1,0,0.925,0.402,0.0016
TRA00003,6,track_segment,ENG,MAIN01,double,23.3,40,180,0.222,58.2,4,3,1,monsoon,1,0,0.925,0.402,0.03
TRA00003,7,track_segment,ENG,MAIN01,double,23.38,70,180,0.389,58.2,4,3,2,monsoon,1,1,0.925,0.402,0.0947
TRA00003,8,track_segment,ENG,MAIN01,double,23.47,18,180,0.1,58.2,4,4,0,monsoon,1,0,0.925,0.402,0.0062
TRA00003,9,track_segment,ENG,MAIN01,double,23.55,48,180,0.267,58.2,4,4,1,post_monsoon,0,0,0.925,0.402,0.0289
TRA00003,10,track_segment,ENG,MAIN01,double,23.63,78,180,0.433,58.2,4,4,2,post_monsoon,0,0,0.925,0.402,0.0778
TRA00003,11,track_segment,ENG,MAIN01,double,23.72,108,180,0.6,58.2,4,4,3,post_monsoon,0,0,0.925,0.402,0.1477
TRA00003,12,track_segment,ENG,MAIN01,double,23.8,138,180,0.767,58.2,4,4,4,winter,0,0,0.925,0.402,0.2332
TRA00003,13,track_segment,ENG,MAIN01,double,23.88,168,180,0.933,58.2,4,4,5,winter,0,0,0.925,0.402,0.3279
TRA00003,14,track_segment,ENG,MAIN01,double,23.97,198,180,1.1,58.2,4,4,6,winter,0,0,0.925,0.402,0.4252
TRA00003,15,track_segment,ENG,MAIN01,double,24.05,228,180,1.267,58.2,4,4,7,summer,0,1,0.925,0.402,0.5189
TRA00003,16,track_segment,ENG,MAIN01,double,24.13,8,180,0.044,58.2,4,5,0,summer,0,0,0.925,0.402,0.0007
TRA00003,17,track_segment,ENG,MAIN01,double,24.22,38,180,0.211,58.2,4,5,1,summer,1,0,0.925,0.402,0.0323
TRA00003,18,track_segment,ENG,MAIN01,double,24.3,68,180,0.378,58.2,4,5,2,monsoon,1,0,0.925,0.402,0.1071
TRA00003,19,track_segment,ENG,MAIN01,double,24.38,98,180,0.544,58.2,4,5,3,monsoon,1,0,0.925,0.402,0.2221
TRA00003,20,track_segment,ENG,MAIN01,double,24.47,128,180,0.711,58.2,4,5,4,monsoon,1,0,0.925,0.402,0.369
TRA00003,21,track_segment,ENG,MAIN01,double,24.55,158,180,0.878,58.2,4,5,5,post_monsoon,0,0,0.925,0.402,0.3234
TRA00003,22,track_segment,ENG,MAIN01,double,24.63,188,180,1.044,58.2,4,5,6,post_monsoon,0,0,0.925,0.402,0.4297
TRA00003,23,track_segment,ENG,MAIN01,double,24.72,218,180,1.211,58.2,4,5,7,post_monsoon,0,1,0.925,0.402,0.5341
TRA00004,0,track_segment,ENG,MAIN01,double,9.8,261,180,1.45,58.2,3,0,18,winter,0,0,0.272,0.879,0.3468
TRA00004,1,track_segment,ENG,MAIN01,double,9.88,291,180,1.617,58.2,3,0,19,winter,0,0,0.272,0.879,0.3879
TRA00004,2,track_segment,ENG,MAIN01,double,9.97,321,180,1.783,58.2,3,0,20,winter,0,1,0.272,0.879,0.4217
TRA00004,3,track_segment,ENG,MAIN01,double,10.05,3,180,0.017,58.2,3,1,0,summer,0,0,0.272,0.879,0.0001
TRA00004,4,track_segment,ENG,MAIN01,double,10.13,33,180,0.183,58.2,3,1,1,summer,0,0,0.272,0.879,0.0086
TRA00004,5,track_segment,ENG,MAIN01,double,10.22,63,180,0.35,58.2,3,1,2,summer,1,0,0.272,0.879,0.0566
TRA00004,6,track_segment,ENG,MAIN01,double,10.3,93,180,0.517,58.2,3,1,3,monsoon,1,0,0.272,0.879,0.1237
TRA00004,7,track_segment,ENG,MAIN01,double,10.38,123,180,0.683,58.2,3,1,4,monsoon,1,0,0.272,0.879,0.2116
TRA00004,8,track_segment,ENG,MAIN01,double,10.47,153,180,0.85,58.2,3,1,5,monsoon,1,0,0.272,0.879,0.3137
TRA00004,9,track_segment,ENG,MAIN01,double,10.55,183,180,1.017,58.2,3,1,6,post_monsoon,0,1,0.272,0.879,0.244
TRA00004,10,track_segment,ENG,MAIN01,double,10.63,14,180,0.078,58.2,3,2,0,post_monsoon,0,0,0.272,0.879,0.0016
TRA00004,11,track_segment,ENG,MAIN01,double,10.72,44,180,0.244,58.2,3,2,1,post_monsoon,0,0,0.272,0.879,0.0175
TRA00004,12,track_segment,ENG,MAIN01,double,10.8,74,180,0.411,58.2,3,2,2,winter,0,0,0.272,0.879,0.0509
TRA00004,13,track_segment,ENG,MAIN01,double,10.88,104,180,0.578,58.2,3,2,3,winter,0,0,0.272,0.879,0.0998
TRA00004,14,track_segment,ENG,MAIN01,double,10.97,134,180,0.744,58.2,3,2,4,winter,0,1,0.272,0.879,0.1608
TRA00004,15,track_segment,ENG,MAIN01,double,11.05,14,180,0.078,58.2,3,3,0,summer,0,0,0.272,0.879,0.0018
TRA00004,16,track_segment,ENG,MAIN01,double,11.13,44,180,0.244,58.2,3,3,1,summer,0,0,0.272,0.879,0.0194
TRA00004,17,track_segment,ENG,MAIN01,double,11.22,74,180,0.411,58.2,3,3,2,summer,1,0,0.272,0.879,0.0977
TRA00004,18,track_segment,ENG,MAIN01,double,11.3,104,180,0.578,58.2,3,3,3,monsoon,1,0,0.272,0.879,0.1916
TRA00004,19,track_segment,ENG,MAIN01,double,11.38,134,180,0.744,58.2,3,3,4,monsoon,1,0,0.272,0.879,0.3086
TRA00004,20,track_segment,ENG,MAIN01,double,11.47,164,180,0.911,58.2,3,3,5,monsoon,1,0,0.272,0.879,0.4397
TRA00004,21,track_segment,ENG,MAIN01,double,11.55,194,180,1.078,58.2,3,3,6,post_monsoon,0,1,0.272,0.879,0.3326
TRA00004,22,track_segment,ENG,MAIN01,double,11.63,6,180,0.033,58.2,3,4,0,post_monsoon,0,0,0.272,0.879,0.0003
TRA00004,23,track_segment,ENG,MAIN01,double,11.72,36,180,0.2,58.2,3,4,1,post_monsoon,0,0,0.272,0.879,0.0141
TRA00005,0,track_segment,ENG,MAIN01,double,10.4,175,180,0.972,58.2,4,0,16,winter,0,1,0.66,0.714,0.1971
TRA00005,1,track_segment,ENG,MAIN01,double,10.48,5,180,0.028,58.2,4,1,0,winter,0,0,0.66,0.714,0.0002
TRA00005,2,track_segment,ENG,MAIN01,double,10.57,35,180,0.194,58.2,4,1,1,winter,0,0,0.66,0.714,0.0096
TRA00005,3,track_segment,ENG,MAIN01,double,10.65,65,180,0.361,58.2,4,1,2,summer,0,0,0.66,0.714,0.0344
TRA00005,4,track_segment,ENG,MAIN01,double,10.73,95,180,0.528,58.2,4,1,3,summer,0,0,0.66,0.714,0.0736
TRA00005,5,track_segment,ENG,MAIN01,double,10.82,125,180,0.694,58.2,4,1,4,summer,1,0,0.66,0.714,0.2067
TRA00005,6,track_segment,ENG,MAIN01,double,10.9,155,180,0.861,58.2,4,1,5,monsoon,1,1,0.66,0.714,0.3041
TRA00005,7,track_segment,ENG,MAIN01,double,10.98,16,180,0.089,58.2,4,2,0,monsoon,1,0,0.66,0.714,0.0035
TRA00005,8,track_segment,ENG,MAIN01,double,11.07,46,180,0.256,58.2,4,2,1,monsoon,1,0,0.66,0.714,0.0315
TRA00005,9,track_segment,ENG,MAIN01,double,11.15,76,180,0.422,58.2,4,2,2,post_monsoon,0,0,0.66,0.714,0.053
TRA00005,10,track_segment,ENG,MAIN01,double,11.23,106,180,0.589,58.2,4,2,3,post_monsoon,0,0,0.66,0.714,0.1022
TRA00005,11,track_segment,ENG,MAIN01,double,11.32,136,180,0.756,58.2,4,2,4,post_monsoon,0,1,0.66,0.714,0.1629
TRA00005,12,track_segment,ENG,MAIN01,double,11.4,9,180,0.05,58.2,4,3,0,winter,0,0,0.66,0.714,0.0007
TRA00005,13,track_segment,ENG,MAIN01,double,11.48,39,180,0.217,58.2,4,3,1,winter,0,0,0.66,0.714,0.0149
TRA00005,14,track_segment,ENG,MAIN01,double,11.57,69,180,0.383,58.2,4,3,2,winter,0,0,0.66,0.714,0.0483
TRA00005,15,track_segment,ENG,MAIN01,double,11.65,99,180,0.55,58.2,4,3,3,summer,0,0,0.66,0.714,0.0993
TRA00005,16,track_segment,ENG,MAIN01,double,11.73,129,180,0.717,58.2,4,3,4,summer,0,1,0.66,0.714,0.1641
TRA00005,17,track_segment,ENG,MAIN01,double,11.82,11,180,0.061,58.2,4,4,0,summer,1,0,0.66,0.714,0.0019
TRA00005,18,track_segment,ENG,MAIN01,double,11.9,41,180,0.228,58.2,4,4,1,monsoon,1,0,0.66,0.714,0.0303
TRA00005,19,track_segment,ENG,MAIN01,double,11.98,71,180,0.394,58.2,4,4,2,monsoon,1,1,0.66,0.714,0.0935
TRA00005,20,track_segment,ENG,MAIN01,double,12.07,17,180,0.094,58.2,4,5,0,monsoon,1,0,0.66,0.714,0.0052
TRA00005,21,track_segment,ENG,MAIN01,double,12.15,47,180,0.261,58.2,4,5,1,post_monsoon,0,0,0.66,0.714,0.0263
TRA00005,22,track_segment,ENG,MAIN01,double,12.23,77,180,0.428,58.2,4,5,2,post_monsoon,0,0,0.66,0.714,0.0722
TRA00005,23,track_segment,ENG,MAIN01,double,12.32,107,180,0.594,58.2,4,5,3,post_monsoon,0,0,0.66,0.714,0.1381
TRA00006,0,track_segment,ENG,MAIN01,double,0.8,362,180,2.011,58.2,4,0,29,winter,0,1,0.93,0.85,0.3785
TRA00006,1,track_segment,ENG,MAIN01,double,0.88,18,180,0.1,58.2,4,1,0,winter,0,0,0.93,0.85,0.002
TRA00006,2,track_segment,ENG,MAIN01,double,0.97,48,180,0.267,58.2,4,1,1,winter,0,0,0.93,0.85,0.0155
TRA00006,3,track_segment,ENG,MAIN01,double,1.05,78,180,0.433,58.2,4,1,2,summer,0,0,0.93,0.85,0.0419
TRA00006,4,track_segment,ENG,MAIN01,double,1.13,108,180,0.6,58.2,4,1,3,summer,0,0,0.93,0.85,0.0794
TRA00006,5,track_segment,ENG,MAIN01,double,1.22,138,180,0.767,58.2,4,1,4,summer,1,0,0.93,0.85,0.1874
TRA00006,6,track_segment,ENG,MAIN01,double,1.3,168,180,0.933,58.2,4,1,5,monsoon,1,0,0.93,0.85,0.2636
TRA00006,7,track_segment,ENG,MAIN01,double,1.38,198,180,1.1,58.2,4,1,6,monsoon,1,1,0.93,0.85,0.3418
TRA00006,8,track_segment,ENG,MAIN01,double,1.47,5,180,0.028,58.2,4,2,0,monsoon,1,0,0.93,0.85,0.0002
TRA00006,9,track_segment,ENG,MAIN01,double,1.55,35,180,0.194,58.2,4,2,1,post_monsoon,0,0,0.93,0.85,0.0091
TRA00006,10,track_segment,ENG,MAIN01,double,1.63,65,180,0.361,58.2,4,2,2,post_monsoon,0,0,0.93,0.85,0.0326
TRA00006,11,track_segment,ENG,MAIN01,double,1.72,95,180,0.528,58.2,4,2,3,post_monsoon,0,0,0.93,0.85,0.0697
TRA00006,12,track_segment,ENG,MAIN01,double,1.8,125,180,0.694,58.2,4,2,4,winter,0,0,0.93,0.85,0.1178
TRA00006,13,track_segment,ENG,MAIN01,double,1.88,155,180,0.861,58.2,4,2,5,winter,0,0,0.93,0.85,0.1733
TRA00006,14,track_segment,ENG,MAIN01,double,1.97,185,180,1.028,58.2,4,2,6,winter,0,0,0.93,0.85,0.2321
TRA00006,15,track_segment,ENG,MAIN01,double,2.05,215,180,1.194,58.2,4,2,7,summer,0,0,0.93,0.85,0.2903
TRA00006,16,track_segment,ENG,MAIN01,double,2.13,245,180,1.361,58.2,4,2,8,summer,0,1,0.93,0.85,0.3445
TRA00006,17,track_segment,ENG,MAIN01,double,2.22,5,180,0.028,58.2,4,3,0,summer,1,0,0.93,0.85,0.0003
TRA00006,18,track_segment,ENG,MAIN01,double,2.3,35,180,0.194,58.2,4,3,1,monsoon,1,0,0.93,0.85,0.0151
TRA00006,19,track_segment,ENG,MAIN01,double,2.38,65,180,0.361,58.2,4,3,2,monsoon,1,0,0.93,0.85,0.0542
TRA00006,20,track_segment,ENG,MAIN01,double,2.47,95,180,0.528,58.2,4,3,3,monsoon,1,0,0.93,0.85,0.116
TRA00006,21,track_segment,ENG,MAIN01,double,2.55,125,180,0.694,58.2,4,3,4,post_monsoon,0,1,0.93,0.85,0.1313
TRA00006,22,track_segment,ENG,MAIN01,double,2.63,15,180,0.083,58.2,4,4,0,post_monsoon,0,0,0.93,0.85,0.0019
TRA00006,23,track_segment,ENG,MAIN01,double,2.72,45,180,0.25,58.2,4,4,1,post_monsoon,0,0,0.93,0.85,0.0187
TRA00007,0,track_segment,ENG,MAIN01,double,13.0,179,180,0.994,58.2,4,1,13,winter,0,0,0.777,0.676,0.2364
TRA00007,1,track_segment,ENG,MAIN01,double,13.08,209,180,1.161,58.2,4,1,14,winter,0,0,0.777,0.676,0.2993
TRA00007,2,track_segment,ENG,MAIN01,double,13.17,239,180,1.328,58.2,4,1,15,winter,0,0,0.777,0.676,0.3585
TRA00007,3,track_segment,ENG,MAIN01,double,13.25,8,180,0.044,58.2,4,1,16,summer,0,0,0.777,0.676,0.0004
TRA00007,4,track_segment,ENG,MAIN01,double,13.33,38,180,0.211,58.2,4,1,17,summer,0,0,0.777,0.676,0.0117
TRA00007,5,track_segment,ENG,MAIN01,double,13.42,68,180,0.378,58.2,4,1,18,summer,1,0,0.777,0.676,0.0629
TRA00007,6,track_segment,ENG,MAIN01,double,13.5,98,180,0.544,58.2,4,1,19,monsoon,1,0,0.777,0.676,0.1305
TRA00007,7,track_segment,ENG,MAIN01,double,13.58,128,180,0.711,58.2,4,1,20,monsoon,1,0,0.777,0.676,0.2169
TRA00007,8,track_segment,ENG,MAIN01,double,13.67,158,180,0.878,58.2,4,1,21,monsoon,1,0,0.777,0.676,0.3156
TRA00007,9,track_segment,ENG,MAIN01,double,13.75,188,180,1.044,58.2,4,1,22,post_monsoon,0,1,0.777,0.676,0.2577
TRA00007,10,track_segment,ENG,MAIN01,double,13.83,1,180,0.006,58.2,4,2,0,post_monsoon,0,0,0.777,0.676,0.0
TRA00007,11,track_segment,ENG,MAIN01,double,13.92,31,180,0.172,58.2,4,2,1,post_monsoon,0,0,0.777,0.676,0.0086
TRA00007,12,track_segment,ENG,MAIN01,double,14.0,61,180,0.339,58.2,4,2,2,winter,0,0,0.777,0.676,0.0348
TRA00007,13,track_segment,ENG,MAIN01,double,14.08,91,180,0.506,58.2,4,2,3,winter,0,0,0.777,0.676,0.0779
TRA00007,14,track_segment,ENG,MAIN01,double,14.17,121,180,0.672,58.2,4,2,4,winter,0,0,0.777,0.676,0.1349
TRA00007,15,track_segment,ENG,MAIN01,double,14.25,151,180,0.839,58.2,4,2,5,summer,0,0,0.777,0.676,0.2015
TRA00007,16,track_segment,ENG,MAIN01,double,14.33,181,180,1.006,58.2,4,2,6,summer,0,0,0.777,0.676,0.2727
TRA00007,17,track_segment,ENG,MAIN01,double,14.42,211,180,1.172,58.2,4,2,7,summer,1,1,0.777,0.676,0.5593
TRA00007,18,track_segment,ENG,MAIN01,double,14.5,3,180,0.017,58.2,4,3,0,monsoon,1,0,0.777,0.676,0.0001
TRA00007,19,track_segment,ENG,MAIN01,double,14.58,33,180,0.183,58.2,4,3,1,monsoon,1,0,0.777,0.676,0.0177
TRA00007,20,track_segment,ENG,MAIN01,double,14.67,63,180,0.35,58.2,4,3,2,monsoon,1,0,0.777,0.676,0.0673
TRA00007,21,track_segment,ENG,MAIN01,double,14.75,93,180,0.517,58.2,4,3,3,post_monsoon,0,1,0.777,0.676,0.0904
TRA00007,22,track_segment,ENG,MAIN01,double,14.83,0,180,0.0,58.2,4,4,0,post_monsoon,0,0,0.777,0.676,0.0
TRA00007,23,track_segment,ENG,MAIN01,double,14.92,30,180,0.167,58.2,4,4,1,post_monsoon,0,0,0.777,0.676,0.0098
TRA00008,0,track_segment,ENG,MAIN01,double,24.7,353,180,1.961,58.2,3,0,8,winter,0,1,0.703,0.245,0.5487
TRA00008,1,track_segment,ENG,MAIN01,double,24.78,13,180,0.072,58.2,3,1,0,winter,0,0,0.703,0.245,0.0015
TRA00008,2,track_segment,ENG,MAIN01,double,24.87,43,180,0.239,58.2,3,1,1,winter,0,0,0.703,0.245,0.0182
TRA00008,3,track_segment,ENG,MAIN01,double,24.95,73,180,0.406,58.2,3,1,2,summer,0,0,0.703,0.245,0.0538
TRA00008,4,track_segment,ENG,MAIN01,double,25.03,103,180,0.572,58.2,3,1,3,summer,0,0,0.703,0.245,0.1065
TRA00008,5,track_segment,ENG,MAIN01,double,25.12,133,180,0.739,58.2,3,1,4,summer,1,1,0.703,0.245,0.3162
TRA00008,6,track_segment,ENG,MAIN01,double,25.2,17,180,0.094,58.2,3,2,0,monsoon,1,0,0.703,0.245,0.0054
TRA00008,7,track_segment,ENG,MAIN01,double,25.28,47,180,0.261,58.2,3,2,1,monsoon,1,0,0.703,0.245,0.0449
TRA00008,8,track_segment,ENG,MAIN01,double,25.37,77,180,0.428,58.2,3,2,2,monsoon,1,1,0.703,0.245,0.1231
TRA00008,9,track_segment,ENG,MAIN01,double,25.45,10,180,0.056,58.2,3,3,0,post_monsoon,0,0,0.703,0.245,0.0011
TRA00008,10,track_segment,ENG,MAIN01,double,25.53,40,180,0.222,58.2,3,3,1,post_monsoon,0,0,0.703,0.245,0.0194
TRA00008,11,track_segment,ENG,MAIN01,double,25.62,70,180,0.389,58.2,3,3,2,post_monsoon,0,0,0.703,0.245,0.0613
TRA00008,12,track_segment,ENG,MAIN01,double,25.7,100,180,0.556,58.2,3,3,3,winter,0,1,0.703,0.245,0.1246
TRA00008,13,track_segment,ENG,MAIN01,double,25.78,10,180,0.056,58.2,3,4,0,winter,0,0,0.703,0.245,0.0012
TRA00008,14,track_segment,ENG,MAIN01,double,25.87,40,180,0.222,58.2,3,4,1,winter,0,0,0.703,0.245,0.0213
TRA00008,15,track_segment,ENG,MAIN01,double,25.95,70,180,0.389,58.2,3,4,2,summer,0,0,0.703,0.245,0.0672
TRA00008,16,track_segment,ENG,MAIN01,double,26.03,100,180,0.556,58.2,3,4,3,summer,0,0,0.703,0.245,0.1367
TRA00008,17,track_segment,ENG,MAIN01,double,26.12,130,180,0.722,58.2,3,4,4,summer,1,0,0.703,0.245,0.4123
TRA00008,18,track_segment,ENG,MAIN01,double,26.2,160,180,0.889,58.2,3,4,5,monsoon,1,1,0.703,0.245,0.5955
TRA00008,19,track_segment,ENG,MAIN01,double,26.28,10,180,0.056,58.2,3,5,0,monsoon,1,0,0.703,0.245,0.0023
TRA00008,20,track_segment,ENG,MAIN01,double,26.37,40,180,0.222,58.2,3,5,1,monsoon,1,0,0.703,0.245,0.0426
TRA00008,21,track_segment,ENG,MAIN01,double,26.45,70,180,0.389,58.2,3,5,2,post_monsoon,0,0,0.703,0.245,0.0734
TRA00008,22,track_segment,ENG,MAIN01,double,26.53,100,180,0.556,58.2,3,5,3,post_monsoon,0,0,0.703,0.245,0.1492
TRA00008,23,track_segment,ENG,MAIN01,double,26.62,130,180,0.722,58.2,3,5,4,post_monsoon,0,1,0.703,0.245,0.2452
TRA00009,0,track_segment,ENG,MAIN01,double,20.8,305,180,1.694,58.2,2,0,2,winter,0,1,0.523,0.528,0.4698
TRA00009,1,track_segment,ENG,MAIN01,double,20.88,15,180,0.083,58.2,2,1,0,winter,0,0,0.523,0.528,0.0019
TRA00009,2,track_segment,ENG,MAIN01,double,20.97,45,180,0.25,58.2,2,1,1,winter,0,0,0.523,0.528,0.019
TRA00009,3,track_segment,ENG,MAIN01,double,21.05,75,180,0.417,58.2,2,1,2,summer,0,0,0.523,0.528,0.054
TRA00009,4,track_segment,ENG,MAIN01,double,21.13,105,180,0.583,58.2,2,1,3,summer,0,0,0.523,0.528,0.105
TRA00009,5,track_segment,ENG,MAIN01,double,21.22,135,180,0.75,58.2,2,1,4,summer,1,1,0.523,0.528,0.3034
TRA00009,6,track_segment,ENG,MAIN01,double,21.3,14,180,0.078,58.2,2,2,0,monsoon,1,0,0.523,0.528,0.0033
TRA00009,7,track_segment,ENG,MAIN01,double,21.38,44,180,0.244,58.2,2,2,1,monsoon,1,0,0.523,0.528,0.0366
TRA00009,8,track_segment,ENG,MAIN01,double,21.47,74,180,0.411,58.2,2,2,2,monsoon,1,0,0.523,0.528,0.1062
