number,train_class,direction
12127,PASS,DN
12128,PASS,UP
12129,PASS,UP
12130,PASS,UP
12131,PASS,UP
12132,PASS,DN
12133,PASS,UP
12134,PASS,DN
12135,PASS,DN
12136,PASS,UP
12137,PASS,DN
12138,PASS,UP
12139,MEMU,UP
12140,MEMU,UP
12141,MEMU,UP
12142,MEMU,DN
12143,MEMU,DN
12144,MEMU,UP
12145,MEMU,DN
12146,MEMU,UP
12147,FRT,DN
12148,FRT,DN
12149,FRT,UP
12150,FRT,UP
12151,FRT,UP
12152,FRT,DN
12153,FRT,DN
12154,FRT,UP
12155,FRT,UP
12156,FRT,UP
12157,FRT,UP
12158,FRT,DN
12159,FRT,UP
12160,FRT,DN
12161,FRT,DN
12162,FRT,UP
12163,FRT,UP
12164,FRT,UP
12165,FRT,UP
12166,FRT,DN
12167,FRT,UP
12168,FRT,DN
12169,FRT,DN
12170,FRT,UP
12171,FRT,DN
12172,FRT,UP
12173,FRT,DN
12174,FRT,DN
12175,FRT,UP
12176,FRT,UP
12177,FRT,UP
12178,FRT,UP
12179,FRT,UP
12180,FRT,UP
12181,FRT,UP
12182,FRT,UP
12183,FRT,UP
12184,FRT,UP
12185,FRT,DN
12186,FRT,UP
12187,FRT,UP
12188,FRT,UP
12189,FRT,DN
12190,FRT,DN
12191,FRT,UP
12192,FRT,DN
12193,VB,UP
12194,VB,DN
12195,RAJ,UP
12196,RAJ,DN
12197,RAJ,UP
12198,RAJ,UP
12199,MEX,DN
12200,MEX,UP
12201,MEX,DN
12202,MEX,DN
12203,MEX,UP
12204,MEX,DN
12205,MEX,UP
12206,MEX,DN
12207,MEX,DN
12208,MEX,UP
12209,MEX,DN
12210,MEX,DN
12211,MEX,DN
12212,MEX,DN
12213,MEX,UP
12214,MEX,UP
12215,MEX,DN
12216,MEX,DN
12217,MEX,DN
12218,MEX,DN
12219,MEX,UP
12220,MEX,UP
12221,MEX,DN
12222,MEX,UP
12223,PASS,UP
12224,PASS,UP
12225,PASS,UP
12226,PASS,UP
12227,PASS,DN
12228,PASS,UP
12229,PASS,DN
12230,PASS,UP
12231,PASS,DN
12232,PASS,DN
12233,PASS,DN
12234,PASS,DN
12235,MEMU,DN
12236,MEMU,DN
12237,MEMU,DN
12238,MEMU,DN
12239,MEMU,UP
12240,MEMU,DN
12241,MEMU,DN
12242,MEMU,DN
12243,FRT,UP
12244,FRT,UP
12245,FRT,DN
12246,FRT,UP
12247,FRT,DN
12248,FRT,UP
12249,FRT,DN
12250,FRT,DN
12251,FRT,DN
12252,FRT,DN
12253,FRT,UP
12254,FRT,DN
12255,FRT,UP
12256,FRT,UP
12257,FRT,DN
12258,FRT,UP
12259,FRT,UP
12260,FRT,DN
12261,FRT,UP
12262,FRT,UP
12263,FRT,UP
12264,FRT,UP
12265,FRT,DN
12266,FRT,DN
12267,FRT,DN
12268,FRT,UP
12269,FRT,UP
12270,FRT,DN
12271,FRT,DN
12272,FRT,UP
12273,FRT,UP
12274,FRT,UP
12275,FRT,DN
12276,FRT,UP
12277,FRT,DN
12278,FRT,DN
12279,FRT,UP
12280,FRT,UP
12281,FRT,UP
12282,FRT,UP
12283,FRT,DN
12284,FRT,DN
12285,FRT,UP
12286,FRT,UP
12287,FRT,UP
12288,FRT,UP
12289,VB,UP
12290,VB,DN
12291,RAJ,UP
12292,RAJ,UP
12293,RAJ,UP
12294,RAJ,UP
12295,MEX,UP
12296,MEX,DN
12297,MEX,UP
12298,MEX,UP
12299,MEX,UP
12300,MEX,UP
12301,MEX,UP
12302,MEX,DN
12303,MEX,DN
12304,MEX,DN
12305,MEX,UP
12306,MEX,UP
12307,MEX,UP
12308,MEX,UP
12309,MEX,UP
12310,MEX,UP
12311,MEX,UP
12312,MEX,UP
12313,MEX,DN
12314,MEX,DN
12315,MEX,UP
12316,MEX,UP
12317,MEX,DN
12318,MEX,UP
12319,PASS,UP
12320,PASS,UP
12321,PASS,DN
12322,PASS,UP
12323,PASS,UP
12324,PASS,DN
12325,PASS,DN
12326,PASS,UP
12327,PASS,UP
12328,PASS,UP
12329,PASS,DN
12330,PASS,DN
12331,MEMU,UP
12332,MEMU,UP
12333,MEMU,DN
12334,MEMU,DN
12335,MEMU,DN
12336,MEMU,UP
12337,MEMU,DN
12338,MEMU,DN
12339,FRT,UP
12340,FRT,UP
12341,FRT,UP
12342,FRT,DN
12343,FRT,DN
12344,FRT,DN
12345,FRT,UP
12346,FRT,UP
12347,FRT,UP
12348,FRT,UP
12349,FRT,DN
12350,FRT,DN
12351,FRT,UP
12352,FRT,DN
12353,FRT,UP
12354,FRT,DN
12355,FRT,UP
12356,FRT,UP
12357,FRT,DN
12358,FRT,DN
12359,FRT,UP
12360,FRT,DN
12361,FRT,UP
12362,FRT,DN
12363,FRT,DN
12364,FRT,UP
12365,FRT,DN
12366,FRT,UP
12367,FRT,DN
12368,FRT,UP
12369,FRT,UP
12370,FRT,UP
12371,FRT,DN
12372,FRT,DN
12373,FRT,DN
12374,FRT,UP
12375,FRT,UP
12376,FRT,DN
12377,FRT,UP
12378,FRT,UP
12379,FRT,UP
12380,FRT,UP
12381,FRT,DN
12382,FRT,DN
12383,FRT,UP
12384,FRT,DN
12385,VB,UP
12386,VB,DN
12387,RAJ,UP
12388,RAJ,DN
12389,RAJ,UP
12390,RAJ,DN
12391,MEX,DN
12392,MEX,UP
12393,MEX,UP
12394,MEX,DN
12395,MEX,UP
12396,MEX,DN
12397,MEX,DN
12398,MEX,DN
12399,MEX,DN
12400,MEX,UP
12401,MEX,UP
12402,MEX,DN
12403,MEX,UP
12404,MEX,DN
12405,MEX,DN
12406,MEX,DN
12407,MEX,UP
12408,MEX,DN
12409,MEX,DN
12410,MEX,DN
12411,MEX,DN
12412,MEX,UP
12413,MEX,UP
12414,MEX,DN
12415,PASS,UP
12416,PASS,UP
12417,PASS,UP
12418,PASS,UP
12419,PASS,DN
12420,PASS,UP
12421,PASS,UP
12422,PASS,UP
12423,PASS,DN
12424,PASS,DN
12425,PASS,UP
12426,PASS,DN
12427,MEMU,UP
12428,MEMU,UP
12429,MEMU,DN
12430,MEMU,DN
12431,MEMU,DN
12432,MEMU,UP
12433,MEMU,DN
12434,MEMU,DN
12435,FRT,UP
12436,FRT,DN
12437,FRT,UP
12438,FRT,UP
12439,FRT,DN
12440,FRT,UP
12441,FRT,DN
12442,FRT,UP
12443,FRT,DN
12444,FRT,UP
12445,FRT,DN
12446,FRT,UP
12447,FRT,UP
12448,FRT,DN
12449,FRT,DN
12450,FRT,UP
12451,FRT,DN
12452,FRT,DN
12453,FRT,UP
12454,FRT,DN
12455,FRT,DN
12456,FRT,DN
12457,FRT,UP
12458,FRT,UP
12459,FRT,UP
12460,FRT,DN
12461,FRT,DN
12462,FRT,UP
12463,FRT,DN
12464,FRT,DN
12465,FRT,DN
12466,FRT,UP
12467,FRT,UP
12468,FRT,UP
12469,FRT,DN
12470,FRT,UP
12471,FRT,UP
12472,FRT,DN
12473,FRT,DN
12474,FRT,DN
12475,FRT,UP
12476,FRT,UP
12477,FRT,DN
12478,FRT,UP
12479,FRT,UP
12480,FRT,DN
12481,VB,UP
12482,VB,DN
12483,RAJ,DN
12484,RAJ,DN
12485,RAJ,UP
12486,RAJ,UP
12487,MEX,UP
12488,MEX,DN
12489,MEX,UP
12490,MEX,DN
12491,MEX,UP
12492,MEX,DN
12493,MEX,UP
12494,MEX,DN
12495,MEX,UP
12496,MEX,UP
12497,MEX,DN
12498,MEX,DN
12499,MEX,DN
12500,MEX,DN
12501,MEX,DN
12502,MEX,UP
12503,MEX,DN
12504,MEX,UP
12505,MEX,UP
12506,MEX,UP
12507,MEX,UP
12508,MEX,DN
12509,MEX,UP
12510,MEX,UP
12511,PASS,DN
12512,PASS,UP
12513,PASS,DN
12514,PASS,UP
12515,PASS,DN
12516,PASS,DN
12517,PASS,UP
12518,PASS,UP
12519,PASS,DN
12520,PASS,UP
12521,PASS,DN
12522,PASS,UP
12523,MEMU,UP
12524,MEMU,UP
12525,MEMU,DN
12526,MEMU,DN
12527,MEMU,DN
12528,MEMU,UP
12529,MEMU,UP
12530,MEMU,UP
12531,FRT,UP
12532,FRT,UP
12533,FRT,UP
12534,FRT,UP
12535,FRT,UP
12536,FRT,UP
12537,FRT,UP
12538,FRT,DN
12539,FRT,DN
12540,FRT,UP
12541,FRT,DN
12542,FRT,UP
12543,FRT,DN
12544,FRT,UP
12545,FRT,UP
12546,FRT,UP
12547,FRT,DN
12548,FRT,DN
12549,FRT,UP
12550,FRT,UP
12551,FRT,UP
12552,FRT,UP
12553,FRT,UP
12554,FRT,DN
12555,FRT,UP
12556,FRT,UP
12557,FRT,UP
12558,FRT,DN
12559,FRT,DN
12560,FRT,DN
12561,FRT,DN
12562,FRT,UP
12563,FRT,DN
12564,FRT,DN
12565,FRT,UP
12566,FRT,UP
12567,FRT,UP
12568,FRT,UP
12569,FRT,UP
12570,FRT,DN
12571,FRT,UP
12572,FRT,DN
12573,FRT,DN
12574,FRT,DN
12575,FRT,DN
12576,FRT,UP
12577,VB,DN
12578,VB,DN
12579,RAJ,UP
12580,RAJ,UP
12581,RAJ,DN
12582,RAJ,UP
12583,MEX,UP
12584,MEX,UP
12585,MEX,UP
12586,MEX,DN
12587,MEX,UP
12588,MEX,UP
12589,MEX,UP
12590,MEX,UP
12591,MEX,DN
12592,MEX,UP
12593,MEX,DN
12594,MEX,UP
12595,MEX,DN
12596,MEX,UP
12597,MEX,DN
12598,MEX,DN
12599,MEX,UP
12600,MEX,UP
12601,MEX,DN
12602,MEX,UP
12603,MEX,DN
12604,MEX,UP
12605,MEX,DN
12606,MEX,UP
12607,PASS,DN
12608,PASS,DN
12609,PASS,DN
12610,PASS,UP
12611,PASS,DN
12612,PASS,DN
12613,PASS,UP
12614,PASS,DN
12615,PASS,DN
12616,PASS,DN
12617,PASS,UP
12618,PASS,DN
12619,MEMU,DN
12620,MEMU,DN
12621,MEMU,DN
12622,MEMU,DN
12623,MEMU,DN
12624,MEMU,DN
12625,MEMU,UP
12626,MEMU,DN
12627,FRT,UP
12628,FRT,DN
12629,FRT,UP
12630,FRT,UP
12631,FRT,UP
12632,FRT,DN
12633,FRT,UP
12634,FRT,UP
12635,FRT,DN
12636,FRT,DN
12637,FRT,DN
12638,FRT,UP
12639,FRT,DN
12640,FRT,DN
12641,FRT,DN
12642,FRT,UP
12643,FRT,DN
12644,FRT,UP
12645,FRT,UP
12646,FRT,UP
12647,FRT,UP
12648,FRT,UP
12649,FRT,DN
12650,FRT,DN
12651,FRT,DN
12652,FRT,DN
12653,FRT,UP
12654,FRT,DN
12655,FRT,UP
12656,FRT,UP
12657,FRT,UP
12658,FRT,UP
12659,FRT,DN
12660,FRT,UP
12661,FRT,DN
12662,FRT,UP
12663,FRT,DN
12664,FRT,UP
12665,FRT,DN
12666,FRT,DN
12667,FRT,DN
12668,FRT,DN
12669,FRT,DN
12670,FRT,UP
12671,FRT,UP
12672,FRT,DN
