id,dept,asset_type,section_id,km_from,km_to,age_years,days_since_maintenance,maintenance_interval_days,criticality,annual_gmt,failures_3y
LEV00113,ENG,level_crossing,MAIN02,30.74,30.74,5.6,16,120,3,35.3,0
BRI00114,ENG,bridge,MAIN02,31.25,31.25,21.1,387,365,5,35.3,0
SIG00115,SNT,signal,MAIN02,21.22,21.22,24.2,5,150,4,35.3,2
SIG00116,SNT,signal,MAIN02,24.32,24.32,28.2,227,150,4,35.3,0
SIG00117,SNT,signal,MAIN02,30.09,30.09,20.7,89,150,4,35.3,0
SIG00118,SNT,signal,MAIN02,28.15,28.15,2.2,72,150,4,35.3,1
SIG00119,SNT,signal,MAIN02,17.79,17.79,13.8,150,150,4,35.3,1
SIG00120,SNT,signal,MAIN02,22.33,22.33,15.5,121,150,4,35.3,0
POI00121,SNT,point_machine,MAIN02,19.89,19.89,20.8,184,120,5,35.3,2
POI00122,SNT,point_machine,MAIN02,23.88,23.88,25.0,161,120,5,35.3,0
TRA00123,SNT,track_circuit,MAIN02,28.71,28.71,11.8,101,180,3,35.3,0
TRA00124,SNT,track_circuit,MAIN02,18.57,18.57,19.1,258,180,5,35.3,1
TRA00125,SNT,track_circuit,MAIN02,23.22,23.22,7.4,289,180,4,35.3,1
TRA00126,SNT,track_circuit,MAIN02,26.99,26.99,17.0,102,180,3,35.3,1
TRA00127,SNT,track_circuit,MAIN02,23.97,23.97,25.1,125,180,3,35.3,0
TRA00128,SNT,track_circuit,MAIN02,28.75,28.75,9.9,102,180,4,35.3,0
TRA00129,SNT,track_circuit,MAIN02,21.56,21.56,7.4,96,180,5,35.3,0
TRA00130,SNT,track_circuit,MAIN02,29.62,29.62,27.1,40,180,5,35.3,0
OHE00131,TRD,ohe_section,MAIN02,25.87,25.87,4.5,259,200,3,35.3,0
OHE00132,TRD,ohe_section,MAIN02,21.75,21.75,13.6,209,200,5,35.3,5
OHE00133,TRD,ohe_section,MAIN02,27.41,27.41,5.0,323,200,4,35.3,0
OHE00134,TRD,ohe_section,MAIN02,20.84,20.84,10.0,91,200,3,35.3,1
OHE00135,TRD,ohe_section,MAIN02,22.09,22.09,28.1,289,200,4,35.3,0
OHE00136,TRD,ohe_section,MAIN02,18.93,18.93,13.2,311,200,5,35.3,0
OHE00137,TRD,ohe_mast,MAIN02,24.34,24.34,2.1,499,365,1,35.3,1
OHE00138,TRD,ohe_mast,MAIN02,26.23,26.23,22.9,453,365,2,35.3,2
OHE00139,TRD,ohe_mast,MAIN02,22.72,22.72,3.2,700,365,3,35.3,0
OHE00140,TRD,ohe_mast,MAIN02,24.19,24.19,16.8,59,365,2,35.3,0
OHE00141,TRD,ohe_mast,MAIN02,31.72,31.72,1.7,220,365,3,35.3,0
OHE00142,TRD,ohe_mast,MAIN02,19.49,19.49,26.9,549,365,3,35.3,0
OHE00143,TRD,ohe_mast,MAIN02,31.83,31.83,11.7,752,365,3,35.3,1
OHE00144,TRD,ohe_mast,MAIN02,16.52,16.52,25.2,565,365,2,35.3,2
OHE00145,TRD,ohe_mast,MAIN02,30.08,30.08,23.2,288,365,2,35.3,0
OHE00146,TRD,ohe_mast,MAIN02,21.48,21.48,16.3,725,365,2,35.3,2
OHE00147,TRD,ohe_mast,MAIN02,19.56,19.56,10.7,295,365,2,35.3,1
OHE00148,TRD,ohe_mast,MAIN02,23.63,23.63,7.9,596,365,3,35.3,1
OHE00149,TRD,ohe_mast,MAIN02,23.93,23.93,23.6,66,365,2,35.3,3
OHE00150,TRD,ohe_mast,MAIN02,22.68,22.68,17.8,589,365,2,35.3,0
OHE00151,TRD,ohe_mast,MAIN02,27.15,27.15,23.0,232,365,1,35.3,1
OHE00152,TRD,ohe_mast,MAIN02,18.92,18.92,23.2,246,365,3,35.3,1
OHE00153,TRD,ohe_mast,MAIN02,26.16,26.16,4.7,743,365,2,35.3,1
OHE00154,TRD,ohe_mast,MAIN02,18.37,18.37,24.9,39,365,3,35.3,0
OHE00155,TRD,ohe_mast,MAIN02,28.12,28.12,29.8,254,365,3,35.3,1
OHE00156,TRD,ohe_mast,MAIN02,18.41,18.41,8.6,260,365,2,35.3,1
OHE00157,TRD,ohe_mast,MAIN02,17.55,17.55,15.9,280,365,3,35.3,0
OHE00158,TRD,ohe_mast,MAIN02,23.9,23.9,32.0,459,365,1,35.3,2
OHE00159,TRD,ohe_mast,MAIN02,27.29,27.29,11.0,36,365,1,35.3,1
OHE00160,TRD,ohe_mast,MAIN02,22.1,22.1,0.6,385,365,2,35.3,2
TRA00161,ENG,track_segment,MAIN03,40.28,40.78,19.3,120,180,3,43.1,1
TRA00162,ENG,track_segment,MAIN03,32.2,32.7,8.0,192,180,2,43.1,0
TRA00163,ENG,track_segment,MAIN03,32.14,32.64,20.0,68,180,4,43.1,1
TRA00164,ENG,track_segment,MAIN03,37.82,38.32,15.4,84,180,3,43.1,2
TRA00165,ENG,track_segment,MAIN03,46.65,47.15,2.4,207,180,4,43.1,0
TRA00166,ENG,track_segment,MAIN03,33.66,34.16,12.6,73,180,2,43.1,2
TRA00167,ENG,track_segment,MAIN03,40.6,41.1,13.8,134,180,2,43.1,0
TRA00168,ENG,track_segment,MAIN03,36.28,36.78,13.9,142,180,2,43.1,0
TRA00169,ENG,track_segment,MAIN03,34.72,35.22,24.7,114,180,3,43.1,0
TRA00170,ENG,track_segment,MAIN03,38.36,38.86,30.9,6,180,3,43.1,1
TRA00171,ENG,track_segment,MAIN03,38.79,39.29,10.6,303,180,3,43.1,1
TRA00172,ENG,track_segment,MAIN03,32.89,33.39,17.9,130,180,3,43.1,1
TRA00173,ENG,track_segment,MAIN03,43.55,44.05,19.6,288,180,3,43.1,2
TRA00174,ENG,track_segment,MAIN03,34.92,35.42,12.0,13,180,3,43.1,0
TRA00175,ENG,track_segment,MAIN03,45.47,45.97,13.6,201,180,3,43.1,1
TRA00176,ENG,track_segment,MAIN03,43.88,44.38,3.0,203,180,3,43.1,0
TRA00177,ENG,track_segment,MAIN03,35.25,35.75,31.6,124,180,3,43.1,2
TRA00178,ENG,track_segment,MAIN03,32.2,32.7,1.2,22,180,2,43.1,0
TRA00179,ENG,track_segment,MAIN03,38.46,38.96,31.5,173,180,3,43.1,0
TRA00180,ENG,track_segment,MAIN03,43.92,44.42,18.8,105,180,3,43.1,0
TRA00181,ENG,track_segment,MAIN03,33.26,33.76,15.9,18,180,2,43.1,0
TRA00182,ENG,track_segment,MAIN03,37.38,37.88,30.4,106,180,3,43.1,0
TRA00183,ENG,track_segment,MAIN03,43.4,43.9,22.3,271,180,3,43.1,0
TRA00184,ENG,track_segment,MAIN03,43.44,43.94,13.5,95,180,2,43.1,0
TRA00185,ENG,track_segment,MAIN03,43.5,44.0,18.8,334,180,3,43.1,0
TRA00186,ENG,track_segment,MAIN03,46.63,47.13,28.4,293,180,4,43.1,2
TRA00187,ENG,track_segment,MAIN03,38.08,38.58,27.7,27,180,3,43.1,0
TRA00188,ENG,track_segment,MAIN03,42.58,43.08,11.1,270,180,4,43.1,1
TRA00189,ENG,track_segment,MAIN03,44.8,45.3,10.0,282,180,4,43.1,1
TRA00190,ENG,track_segment,MAIN03,43.97,44.47,10.4,199,180,2,43.1,3
LEV00191,ENG,level_crossing,MAIN03,43.79,43.79,15.8,182,120,3,43.1,0
BRI00192,ENG,bridge,MAIN03,34.92,34.92,6.4,424,365,4,43.1,0
SIG00193,SNT,signal,MAIN03,41.46,41.46,22.2,269,150,5,43.1,3
SIG00194,SNT,signal,MAIN03,36.65,36.65,17.1,230,150,4,43.1,0
SIG00195,SNT,signal,MAIN03,38.12,38.12,15.4,45,150,4,43.1,0
SIG00196,SNT,signal,MAIN03,46.54,46.54,8.2,116,150,4,43.1,0
SIG00197,SNT,signal,MAIN03,45.44,45.44,26.7,272,150,5,43.1,0
SIG00198,SNT,signal,MAIN03,37.09,37.09,8.1,228,150,3,43.1,1
POI00199,SNT,point_machine,MAIN03,46.38,46.38,23.2,32,120,5,43.1,0
POI00200,SNT,point_machine,MAIN03,35.11,35.11,24.4,154,120,5,43.1,1
TRA00201,SNT,track_circuit,MAIN03,41.5,41.5,14.5,159,180,4,43.1,1
TRA00202,SNT,track_circuit,MAIN03,41.09,41.09,12.7,216,180,4,43.1,1
TRA00203,SNT,track_circuit,MAIN03,33.92,33.92,19.2,227,180,5,43.1,1
TRA00204,SNT,track_circuit,MAIN03,38.76,38.76,16.6,157,180,4,43.1,0
TRA00205,SNT,track_circuit,MAIN03,46.32,46.32,6.2,134,180,3,43.1,0
TRA00206,SNT,track_circuit,MAIN03,42.02,42.02,21.9,239,180,5,43.1,1
TRA00207,SNT,track_circuit,MAIN03,36.42,36.42,15.8,373,180,3,43.1,3
OHE00208,TRD,ohe_section,MAIN03,43.97,43.97,31.7,159,200,4,43.1,0
OHE00209,TRD,ohe_section,MAIN03,40.74,40.74,31.0,423,200,5,43.1,0
OHE00210,TRD,ohe_section,MAIN03,40.77,40.77,6.4,362,200,4,43.1,0
OHE00211,TRD,ohe_section,MAIN03,45.35,45.35,19.4,18,200,5,43.1,0
OHE00212,TRD,ohe_section,MAIN03,45.07,45.07,0.6,420,200,5,43.1,0
OHE00213,TRD,ohe_section,MAIN03,44.16,44.16,9.7,370,200,3,43.1,0
OHE00214,TRD,ohe_mast,MAIN03,36.26,36.26,19.0,323,365,2,43.1,2
OHE00215,TRD,ohe_mast,MAIN03,43.32,43.32,7.3,18,365,3,43.1,0
OHE00216,TRD,ohe_mast,MAIN03,39.55,39.55,29.7,325,365,2,43.1,0
OHE00217,TRD,ohe_mast,MAIN03,46.33,46.33,16.6,85,365,1,43.1,0
OHE00218,TRD,ohe_mast,MAIN03,36.73,36.73,5.6,653,365,1,43.1,0
OHE00219,TRD,ohe_mast,MAIN03,42.62,42.62,21.8,612,365,2,43.1,0
OHE00220,TRD,ohe_mast,MAIN03,39.33,39.33,3.5,514,365,1,43.1,0
OHE00221,TRD,ohe_mast,MAIN03,45.84,45.84,4.1,139,365,1,43.1,2
OHE00222,TRD,ohe_mast,MAIN03,35.69,35.69,17.0,185,365,1,43.1,0
OHE00223,TRD,ohe_mast,MAIN03,36.67,36.67,21.6,293,365,1,43.1,0
OHE00224,TRD,ohe_mast,MAIN03,41.45,41.45,28.1,482,365,2,43.1,1
OHE00225,TRD,ohe_mast,MAIN03,37.52,37.52,26.0,530,365,3,43.1,3
OHE00226,TRD,ohe_mast,MAIN03,38.11,38.11,25.5,423,365,3,43.1,3
OHE00227,TRD,ohe_mast,MAIN03,34.18,34.18,11.9,492,365,2,43.1,2
OHE00228,TRD,ohe_mast,MAIN03,35.97,35.97,12.7,690,365,2,43.1,3
OHE00229,TRD,ohe_mast,MAIN03,45.71,45.71,26.1,294,365,2,43.1,1
OHE00230,TRD,ohe_mast,MAIN03,44.73,44.73,29.3,28,365,2,43.1,2
OHE00231,TRD,ohe_mast,MAIN03,34.61,34.61,18.9,196,365,2,43.1,1
OHE00232,TRD,ohe_mast,MAIN03,41.89,41.89,18.5,494,365,2,43.1,5
OHE00233,TRD,ohe_mast,MAIN03,39.62,39.62,24.4,690,365,1,43.1,0
OHE00234,TRD,ohe_mast,MAIN03,40.8,40.8,12.0,798,365,3,43.1,0
OHE00235,TRD,ohe_mast,MAIN03,45.03,45.03,30.2,296,365,3,43.1,0
TRA00236,ENG,track_segment,MAIN04,54.47,54.97,16.3,276,180,3,53.5,1
TRA00237,ENG,track_segment,MAIN04,50.19,50.69,27.7,378,180,4,53.5,0
TRA00238,ENG,track_segment,MAIN04,54.84,55.34,22.9,388,180,4,53.5,0
TRA00239,ENG,track_segment,MAIN04,53.72,54.22,12.5,160,180,2,53.5,1
TRA00240,ENG,track_segment,MAIN04,53.78,54.28,2.3,136,180,3,53.5,0
TRA00241,ENG,track_segment,MAIN04,59.7,60.2,26.7,274,180,4,53.5,0
TRA00242,ENG,track_segment,MAIN04,59.3,59.8,31.7,209,180,2,53.5,0
TRA00243,ENG,track_segment,MAIN04,53.81,54.31,9.7,60,180,4,53.5,2
TRA00244,ENG,track_segment,MAIN04,51.91,52.41,30.9,252,180,3,53.5,0
TRA00245,ENG,track_segment,MAIN04,55.65,56.15,14.4,309,180,4,53.5,0
TRA00246,ENG,track_segment,MAIN04,58.77,59.27,2.6,226,180,3,53.5,0
TRA00247,ENG,track_segment,MAIN04,58.68,59.18,4.8,95,180,4,53.5,0
TRA00248,ENG,track_segment,MAIN04,56.09,56.59,22.2,219,180,4,53.5,1
TRA00249,ENG,track_segment,MAIN04,57.64,58.14,29.6,99,180,3,53.5,0
TRA00250,ENG,track_segment,MAIN04,57.04,57.54,11.1,79,180,3,53.5,1
TRA00251,ENG,track_segment,MAIN04,57.06,57.56,27.6,314,180,4,53.5,0
TRA00252,ENG,track_segment,MAIN04,59.74,60.24,28.1,300,180,2,53.5,3
TRA00253,ENG,track_segment,MAIN04,49.76,50.26,13.3,316,180,2,53.5,0
TRA00254,ENG,track_segment,MAIN04,47.86,48.36,6.6,258,180,2,53.5,0
TRA00255,ENG,track_segment,MAIN04,59.74,60.24,22.6,185,180,3,53.5,0
TRA00256,ENG,track_segment,MAIN04,53.76,54.26,24.9,353,180,3,53.5,0
TRA00257,ENG,track_segment,MAIN04,47.14,47.64,24.7,179,180,3,53.5,1
TRA00258,ENG,track_segment,MAIN04,50.81,51.31,4.2,70,180,3,53.5,2
TRA00259,ENG,track_segment,MAIN04,59.16,59.66,15.2,297,180,3,53.5,0
TRA00260,ENG,track_segment,MAIN04,52.09,52.59,30.2,97,180,3,53.5,2
TRA00261,ENG,track_segment,MAIN04,56.88,57.38,24.5,344,180,4,53.5,0
TRA00262,ENG,track_segment,MAIN04,48.35,48.85,14.1,158,180,4,53.5,2
TRA00263,ENG,track_segment,MAIN04,54.13,54.63,8.2,50,180,4,53.5,0
LEV00264,ENG,level_crossing,MAIN04,47.76,47.76,8.9,48,120,2,53.5,0
BRI00265,ENG,bridge,MAIN04,52.66,52.66,1.9,231,365,5,53.5,3
SIG00266,SNT,signal,MAIN04,57.43,57.43,30.5,321,150,4,53.5,0
SIG00267,SNT,signal,MAIN04,56.18,56.18,17.9,272,150,5,53.5,0
SIG00268,SNT,signal,MAIN04,53.89,53.89,14.5,284,150,5,53.5,0
SIG00269,SNT,signal,MAIN04,58.79,58.79,26.4,239,150,5,53.5,0
SIG00270,SNT,signal,MAIN04,47.64,47.64,0.6,207,150,3,53.5,0
POI00271,SNT,point_machine,MAIN04,49.4,49.4,26.7,5,120,5,53.5,0
POI00272,SNT,point_machine,MAIN04,50.88,50.88,27.5,233,120,4,53.5,0
TRA00273,SNT,track_circuit,MAIN04,54.74,54.74,17.5,68,180,5,53.5,1
TRA00274,SNT,track_circuit,MAIN04,54.54,54.54,18.6,351,180,5,53.5,0
TRA00275,SNT,track_circuit,MAIN04,58.24,58.24,23.2,318,180,3,53.5,0
TRA00276,SNT,track_circuit,MAIN04,58.01,58.01,26.0,230,180,3,53.5,3
TRA00277,SNT,track_circuit,MAIN04,59.32,59.32,14.8,311,180,4,53.5,0
TRA00278,SNT,track_circuit,MAIN04,52.84,52.84,30.4,395,180,4,53.5,0
TRA00279,SNT,track_circuit,MAIN04,58.37,58.37,15.8,96,180,4,53.5,0
OHE00280,TRD,ohe_section,MAIN04,59.63,59.63,15.6,305,200,4,53.5,0
OHE00281,TRD,ohe_section,MAIN04,48.08,48.08,14.9,344,200,3,53.5,1
OHE00282,TRD,ohe_section,MAIN04,52.83,52.83,28.7,135,200,4,53.5,1
OHE00283,TRD,ohe_section,MAIN04,52.05,52.05,23.1,215,200,4,53.5,2
OHE00284,TRD,ohe_section,MAIN04,59.2,59.2,5.9,158,200,5,53.5,3
OHE00285,TRD,ohe_mast,MAIN04,47.24,47.24,18.6,578,365,2,53.5,0
OHE00286,TRD,ohe_mast,MAIN04,58.65,58.65,25.3,346,365,2,53.5,0
OHE00287,TRD,ohe_mast,MAIN04,56.16,56.16,21.7,794,365,3,53.5,1
OHE00288,TRD,ohe_mast,MAIN04,60.24,60.24,0.9,277,365,2,53.5,0
OHE00289,TRD,ohe_mast,MAIN04,51.46,51.46,31.0,350,365,2,53.5,0
OHE00290,TRD,ohe_mast,MAIN04,55.65,55.65,14.0,486,365,1,53.5,0
OHE00291,TRD,ohe_mast,MAIN04,54.43,54.43,18.3,768,365,3,53.5,0
OHE00292,TRD,ohe_mast,MAIN04,49.72,49.72,7.8,665,365,2,53.5,0
OHE00293,TRD,ohe_mast,MAIN04,57.49,57.49,24.3,470,365,3,53.5,0
OHE00294,TRD,ohe_mast,MAIN04,47.28,47.28,20.7,470,365,2,53.5,0
OHE00295,TRD,ohe_mast,MAIN04,60.02,60.02,18.6,720,365,1,53.5,2
OHE00296,TRD,ohe_mast,MAIN04,47.07,47.07,4.9,480,365,2,53.5,1
OHE00297,TRD,ohe_mast,MAIN04,58.49,58.49,5.5,64,365,3,53.5,0
OHE00298,TRD,ohe_mast,MAIN04,48.78,48.78,13.8,447,365,1,53.5,0
OHE00299,TRD,ohe_mast,MAIN04,57.89,57.89,26.4,559,365,3,53.5,0
OHE00300,TRD,ohe_mast,MAIN04,57.68,57.68,11.8,532,365,3,53.5,1
OHE00301,TRD,ohe_mast,MAIN04,58.97,58.97,9.5,357,365,1,53.5,1
OHE00302,TRD,ohe_mast,MAIN04,49.52,49.52,7.2,641,365,1,53.5,2
OHE00303,TRD,ohe_mast,MAIN04,50.9,50.9,13.5,427,365,3,53.5,5
OHE00304,TRD,ohe_mast,MAIN04,56.12,56.12,26.8,713,365,3,53.5,0
