id,dept,activity_type,asset_id,section_id,km_from,km_to,severity,raised_min,due_min,nominal_duration_min,crew_type,predicted_duration_min,overrun_probability,risk_score,priority_score,crew_id
ENG-031,ENG,ENG_WELD_REPAIR,TRA00898,BRCH01,3.54,4.04,important,0,5760,75,track_gang,75,0.0,0.642,12.454,
ENG-032,ENG,ENG_BALLAST_SCREENING,TRA00185,MAIN03,43.5,44.0,important,0,2880,225,track_machine,225,0.0,0.637,14.791,
ENG-033,ENG,ENG_RAIL_RENEWAL,TRA00601,MAIN09,130.15,130.65,routine,0,10080,165,track_gang,165,0.0,0.02,6.18,
ENG-034,ENG,ENG_BALLAST_SCREENING,TRA01046,BRCH03,37.38,37.88,routine,0,10080,225,track_machine,225,0.0,0.614,8.556,
ENG-035,ENG,ENG_BALLAST_SCREENING,TRA00307,MAIN05,73.97,74.47,critical,0,4320,210,track_machine,210,0.0,0.819,17.29,
ENG-036,ENG,ENG_TAMPING,TRA00387,MAIN06,78.97,79.47,critical,0,2880,120,track_machine,120,0.0,0.71,18.783,
ENG-037,ENG,ENG_BALLAST_SCREENING,TRA00373,MAIN06,81.88,82.38,important,0,5760,240,track_machine,240,0.0,0.684,12.622,
ENG-038,ENG,ENG_TAMPING,TRA00463,MAIN07,92.09,92.59,important,0,4320,105,track_machine,105,0.0,0.736,14.458,
ENG-039,ENG,ENG_WELD_REPAIR,TRA00004,MAIN01,5.4,5.9,important,0,7200,75,track_gang,75,0.0,0.551,11.661,
ENG-040,ENG,ENG_TAMPING,TRA00112,MAIN02,19.86,20.36,routine,0,10080,120,track_machine,120,0.0,0.01,6.14,
ENG-041,ENG,ENG_WELD_REPAIR,TRA00543,MAIN08,106.52,107.02,routine,0,10080,75,track_gang,75,0.0,0.402,8.908,
ENG-042,ENG,ENG_BALLAST_SCREENING,TRA00694,MAIN10,140.69,141.19,routine,0,10080,210,track_machine,210,0.0,0.604,7.316,
ENG-043,ENG,ENG_BALLAST_SCREENING,TRA00256,MAIN04,53.76,54.26,important,0,8640,240,track_machine,240,0.0,0.738,11.981,
ENG-044,ENG,ENG_RAIL_RENEWAL,TRA00768,MAIN11,171.4,171.9,routine,0,10080,165,track_gang,165,0.0,0.492,9.268,
ENG-045,ENG,ENG_TAMPING,TRA00005,MAIN01,15.33,15.83,routine,0,10080,105,track_machine,105,0.0,0.325,8.6,
ENG-046,ENG,ENG_BALLAST_SCREENING,TRA00755,MAIN11,162.01,162.51,important,0,2880,240,track_machine,240,0.0,0.472,15.331,
ENG-047,ENG,ENG_BALLAST_SCREENING,TRA01051,BRCH03,42.41,42.91,important,0,8640,210,track_machine,210,0.0,0.726,11.933,
ENG-048,ENG,ENG_BALLAST_SCREENING,TRA00779,MAIN11,165.16,165.66,important,0,8640,225,track_machine,225,0.0,0.242,11.197,
ENG-049,ENG,ENG_WELD_REPAIR,TRA00770,MAIN11,167.52,168.02,important,0,2880,75,track_gang,75,0.0,0.385,13.783,
ENG-050,ENG,ENG_BALLAST_SCREENING,TRA00190,MAIN03,43.97,44.47,critical,0,2880,240,track_machine,240,0.0,0.546,15.727,
ENG-051,ENG,ENG_BALLAST_SCREENING,TRA00775,MAIN11,154.21,154.71,critical,0,2880,240,track_machine,240,0.0,0.901,19.547,
ENG-052,ENG,ENG_WELD_REPAIR,TRA00785,MAIN11,158.13,158.63,important,0,2880,75,track_gang,75,0.0,0.243,12.015,
ENG-053,ENG,ENG_LC_MAINTENANCE,LEV01148,BRCH04,47.4,47.4,critical,0,2880,60,track_gang,60,0.0,0.792,16.711,
ENG-054,ENG,ENG_TAMPING,TRA00101,MAIN02,24.44,24.94,important,0,5760,105,track_machine,105,0.0,0.493,11.858,
ENG-055,ENG,ENG_WELD_REPAIR,TRA00084,MAIN02,20.37,20.87,important,0,5760,75,track_gang,75,0.0,0.704,11.502,
ENG-056,ENG,ENG_RAIL_RENEWAL,TRA00451,MAIN07,99.55,100.05,routine,0,10080,195,track_gang,195,0.0,0.085,7.64,
ENG-057,ENG,ENG_LC_MAINTENANCE,LEV00332,MAIN05,68.66,68.66,important,0,5760,45,track_gang,45,0.0,0.476,11.79,
ENG-058,ENG,ENG_RAIL_RENEWAL,TRA00006,MAIN01,0.64,1.14,important,0,5760,165,track_gang,165,0.0,0.637,13.634,
ENG-059,ENG,ENG_BALLAST_SCREENING,TRA00542,MAIN08,115.6,116.1,critical,0,2880,210,track_machine,210,0.0,0.878,19.455,
ENG-060,ENG,ENG_RAIL_RENEWAL,TRA00441,MAIN07,97.77,98.27,important,0,7200,150,track_gang,150,0.0,0.891,11.821,
ENG-061,ENG,ENG_BALLAST_SCREENING,TRA01208,DIV01,104.86,105.36,critical,0,2880,195,track_machine,195,0.0,0.657,17.371,
ENG-062,ENG,ENG_TAMPING,TRA00794,MAIN11,173.52,174.02,routine,0,8640,120,track_machine,120,0.0,0.075,8.029,
ENG-063,ENG,ENG_RAIL_RENEWAL,TRA01043,BRCH03,42.71,43.21,critical,0,1440,195,track_gang,195,0.0,0.897,18.759,
ENG-064,ENG,ENG_TAMPING,TRA00787,MAIN11,161.09,161.59,important,0,4320,120,track_machine,120,0.0,0.658,12.946,
ENG-065,ENG,ENG_BALLAST_SCREENING,TRA00238,MAIN04,54.84,55.34,critical,0,4320,240,track_machine,240,0.0,0.748,17.006,
ENG-066,ENG,ENG_WELD_REPAIR,TRA01139,BRCH04,44.44,44.94,critical,0,1440,75,track_gang,75,0.0,0.899,17.567,
ENG-067,ENG,ENG_BALLAST_SCREENING,TRA00032,MAIN01,5.95,6.45,routine,0,5760,240,track_machine,240,0.0,0.01,6.226,
ENG-068,ENG,ENG_TAMPING,TRA00540,MAIN08,106.63,107.13,routine,0,7200,120,track_machine,120,0.0,0.385,8.497,
ENG-069,ENG,ENG_TAMPING,TRA00689,MAIN10,140.16,140.66,important,0,4320,120,track_machine,120,0.0,0.543,12.486,
ENG-070,ENG,ENG_TAMPING,TRA00187,MAIN03,38.08,38.58,important,0,4320,120,track_machine,120,0.0,0.01,10.354,
ENG-071,ENG,ENG_WELD_REPAIR,TRA00446,MAIN07,96.73,97.23,important,0,5760,105,track_gang,105,0.0,0.802,14.294,
ENG-072,ENG,ENG_TAMPING,TRA00619,MAIN09,131.92,132.42,critical,0,2880,105,track_machine,105,0.0,0.888,18.295,
ENG-073,ENG,ENG_WELD_REPAIR,TRA00523,MAIN08,118.06,118.56,critical,0,4320,75,track_gang,75,0.0,0.651,14.218,
ENG-074,ENG,ENG_BALLAST_SCREENING,TRA00010,MAIN01,15.43,15.93,critical,0,1440,240,track_machine,240,0.0,0.615,18.831,
ENG-075,ENG,ENG_BALLAST_SCREENING,TRA00381,MAIN06,79.02,79.52,important,0,5760,240,track_machine,240,0.0,0.447,12.874,
SNT-001,SNT,SNT_TRACK_CIRCUIT,TRA00048,MAIN01,0.88,0.88,important,0,5760,60,signal_team,60,0.0,0.376,13.79,
SNT-002,SNT,SNT_SIGNAL_TESTING,SIG00117,MAIN02,30.09,30.09,important,0,4320,30,signal_team,30,0.0,0.139,12.07,
SNT-003,SNT,SNT_CABLE_WORK,SIG00998,BRCH02,18.37,18.37,routine,0,10080,120,signal_team,120,0.0,0.44,10.26,
SNT-004,SNT,SNT_CABLE_WORK,SIG00268,MAIN04,53.89,53.89,critical,0,4320,120,signal_team,120,0.0,0.744,18.19,
SNT-005,SNT,SNT_SIGNAL_TESTING,SIG01077,BRCH03,36.99,36.99,important,0,2880,45,signal_team,45,0.0,0.547,15.631,
SNT-006,SNT,SNT_AXLE_COUNTER,TRA01083,BRCH03,40.92,40.92,routine,0,10080,60,signal_team,60,0.0,0.528,9.412,
SNT-007,SNT,SNT_AXLE_COUNTER,TRA00830,MAIN11,158.7,158.7,important,0,4320,60,signal_team,60,0.0,0.403,13.126,
SNT-008,SNT,SNT_POINT_OVERHAUL,POI00271,MAIN04,49.4,49.4,routine,0,10080,90,signal_team,90,0.0,0.01,8.54,
SNT-009,SNT,SNT_SIGNAL_TESTING,SIG00633,MAIN09,126.6,126.6,routine,0,10080,30,signal_team,30,0.0,0.132,9.028,
SNT-010,SNT,SNT_TRACK_CIRCUIT,TRA00207,MAIN03,36.42,36.42,important,0,4320,60,signal_team,60,0.0,0.99,14.274,
SNT-011,SNT,SNT_SIGNAL_TESTING,SIG00198,MAIN03,37.09,37.09,important,0,2880,30,signal_team,30,0.0,0.563,14.495,
SNT-012,SNT,SNT_TRACK_CIRCUIT,TRA00641,MAIN09,130.83,130.83,critical,0,1440,45,signal_team,45,0.0,0.768,19.443,
SNT-013,SNT,SNT_CABLE_WORK,SIG00929,BRCH01,12.84,12.84,critical,0,2880,120,signal_team,120,0.0,0.803,19.155,
SNT-014,SNT,SNT_CABLE_WORK,SIG01235,DIV01,106.13,106.13,routine,0,10080,105,signal_team,105,0.0,0.263,8.352,
SNT-015,SNT,SNT_CABLE_WORK,SIG00037,MAIN01,14.39,14.39,critical,0,1440,135,signal_team,135,0.0,0.92,20.051,
SNT-016,SNT,SNT_POINT_OVERHAUL,POI00558,MAIN08,112.37,112.37,critical,0,4320,90,signal_team,90,0.0,0.99,17.974,
SNT-017,SNT,SNT_POINT_OVERHAUL,POI01239,DIV01,104.98,104.98,critical,0,4320,90,signal_team,90,0.0,0.928,18.926,
SNT-018,SNT,SNT_SIGNAL_TESTING,SIG00551,MAIN08,118.68,118.68,important,0,2880,45,signal_team,45,0.0,0.621,14.727,
SNT-019,SNT,SNT_CABLE_WORK,SIG00477,MAIN07,89.99,89.99,critical,0,4320,105,signal_team,105,0.0,0.892,16.382,
SNT-020,SNT,SNT_AXLE_COUNTER,TRA00202,MAIN03,41.09,41.09,routine,0,10080,75,signal_team,75,0.0,0.439,9.056,
SNT-021,SNT,SNT_SIGNAL_TESTING,SIG01075,BRCH03,36.3,36.3,critical,0,1440,45,signal_team,45,0.0,0.775,19.471,
SNT-022,SNT,SNT_SIGNAL_TESTING,SIG00818,MAIN11,163.12,163.12,important,0,2880,30,signal_team,30,0.0,0.629,17.159,
SNT-023,SNT,SNT_TRACK_CIRCUIT,TRA01240,DIV01,113.93,113.93,important,0,8640,45,signal_team,45,0.0,0.724,11.925,
SNT-024,SNT,SNT_POINT_OVERHAUL,POI01079,BRCH03,37.62,37.62,critical,0,2880,75,signal_team,75,0.0,0.787,20.291,
SNT-025,SNT,SNT_TRACK_CIRCUIT,TRA01242,DIV01,111.24,111.24,important,0,4320,45,signal_team,45,0.0,0.804,14.73,
SNT-026,SNT,SNT_TRACK_CIRCUIT,TRA01084,BRCH03,42.73,42.73,routine,0,10080,60,signal_team,60,0.0,0.199,9.296,
SNT-027,SNT,SNT_CABLE_WORK,SIG00266,MAIN04,57.43,57.43,critical,0,4320,105,signal_team,105,0.0,0.835,17.354,
SNT-028,SNT,SNT_CABLE_WORK,SIG00713,MAIN10,145.81,145.81,routine,0,7200,120,signal_team,120,0.0,0.064,8.413,
SNT-029,SNT,SNT_TRACK_CIRCUIT,TRA00276,MAIN04,58.01,58.01,critical,0,1440,60,signal_team,60,0.0,0.828,18.483,
SNT-030,SNT,SNT_TRACK_CIRCUIT,TRA00566,MAIN08,106.07,106.07,important,0,5760,60,signal_team,60,0.0,0.537,13.234,
SNT-031,SNT,SNT_SIGNAL_TESTING,SIG00193,MAIN03,41.46,41.46,critical,0,4320,45,signal_team,45,0.0,0.89,18.774,
SNT-032,SNT,SNT_TRACK_CIRCUIT,TRA00640,MAIN09,131.21,131.21,routine,0,10080,60,signal_team,60,0.0,0.165,9.16,
SNT-033,SNT,SNT_SIGNAL_TESTING,SIG00035,MAIN01,4.09,4.09,critical,0,1440,45,signal_team,45,0.0,0.907,19.999,
TRD-001,TRD,TRD_MAST_REPAIR,OHE00597,MAIN08,115.82,115.82,important,0,2880,75,ohe_team,75,0.0,0.288,13.395,
TRD-002,TRD,TRD_MAST_REPAIR,OHE00063,MAIN01,14.66,14.66,routine,0,10080,90,ohe_team,90,0.0,0.191,5.664,
TRD-003,TRD,TRD_MAST_REPAIR,OHE00886,MAIN11,154.16,154.16,routine,0,10080,90,ohe_team,90,0.0,0.01,3.74,
TRD-004,TRD,TRD_MAST_REPAIR,OHE00874,MAIN11,165.59,165.59,important,0,7200,75,ohe_team,75,0.0,0.253,10.469,
TRD-005,TRD,TRD_MAST_REPAIR,OHE01194,BRCH04,49.05,49.05,critical,0,2880,75,ohe_team,75,0.0,0.544,16.919,
TRD-006,TRD,TRD_MAST_REPAIR,OHE01100,BRCH03,35.93,35.93,important,0,5760,90,ohe_team,90,0.0,0.697,10.274,
TRD-007,TRD,TRD_MAST_REPAIR,OHE00303,MAIN04,50.9,50.9,critical,0,4320,75,ohe_team,75,0.0,0.845,16.194,
TRD-008,TRD,TRD_MAST_REPAIR,OHE00737,MAIN10,138.72,138.72,critical,0,1440,90,ohe_team,90,0.0,0.853,17.383,
TRD-009,TRD,TRD_MAST_REPAIR,OHE01260,DIV01,117.14,117.14,important,0,8640,90,ohe_team,90,0.0,0.622,9.117,
TRD-010,TRD,TRD_TENSIONING,OHE00051,MAIN01,5.24,5.24,critical,0,4320,105,ohe_tower_car,105,0.0,0.51,16.054,
TRD-011,TRD,TRD_MAST_REPAIR,OHE00359,MAIN05,65.81,65.81,critical,0,1440,90,ohe_team,90,0.0,0.99,16.731,
TRD-012,TRD,TRD_MAST_REPAIR,OHE01173,BRCH04,48.94,48.94,critical,0,4320,75,ohe_team,75,0.0,0.75,15.814,
TRD-013,TRD,TRD_MAST_REPAIR,OHE00078,MAIN01,2.05,2.05,critical,0,2880,105,ohe_team,105,0.0,0.99,17.503,
TRD-014,TRD,TRD_CONTACT_WIRE,OHE00346,MAIN05,69.21,69.21,important,0,8640,180,ohe_tower_car,180,0.0,0.471,12.113,
TRD-015,TRD,TRD_MAST_REPAIR,OHE00660,MAIN09,132.53,132.53,routine,0,10080,75,ohe_team,75,0.0,0.148,5.492,
TRD-016,TRD,TRD_MAST_REPAIR,OHE00866,MAIN11,151.66,151.66,important,0,4320,90,ohe_team,90,0.0,0.634,10.45,
TRD-017,TRD,TRD_OHE_INSULATOR,OHE00852,MAIN11,169.84,169.84,important,0,5760,45,ohe_team,45,0.0,0.576,12.19,
TRD-018,TRD,TRD_MAST_REPAIR,OHE00292,MAIN04,49.72,49.72,important,0,4320,75,ohe_team,75,0.0,0.593,11.486,
TRD-019,TRD,TRD_MAST_REPAIR,OHE00294,MAIN04,47.28,47.28,critical,0,4320,75,ohe_team,75,0.0,0.475,13.514,
TRD-020,TRD,TRD_MAST_REPAIR,OHE00144,MAIN02,16.52,16.52,critical,0,4320,75,ohe_team,75,0.0,0.943,15.386,
TRD-021,TRD,TRD_MAST_REPAIR,OHE01259,DIV01,112.52,112.52,important,0,2880,75,ohe_team,75,0.0,0.557,12.071,
TRD-022,TRD,TRD_MAST_REPAIR,OHE01266,DIV01,110.17,110.17,routine,0,10080,90,ohe_team,90,0.0,0.275,6.0,
TRD-023,TRD,TRD_MAST_REPAIR,OHE00744,MAIN10,137.35,137.35,routine,0,10080,90,ohe_team,90,0.0,0.165,5.56,
TRD-024,TRD,TRD_MAST_REPAIR,OHE00139,MAIN02,22.72,22.72,important,0,5760,90,ohe_team,90,0.0,0.599,12.282,
TRD-025,TRD,TRD_MAST_REPAIR,OHE00501,MAIN07,89.26,89.26,important,0,4320,90,ohe_team,90,0.0,0.257,8.942,
TRD-026,TRD,TRD_TENSIONING,OHE00136,MAIN02,18.93,18.93,important,0,2880,120,ohe_tower_car,120,0.0,0.658,17.275,
TRD-027,TRD,TRD_MAST_REPAIR,OHE01277,DIV01,118.76,118.76,critical,0,4320,90,ohe_team,90,0.0,0.484,13.55,
TRD-028,TRD,TRD_CONTACT_WIRE,OHE01251,DIV01,108.59,108.59,important,0,2880,180,ohe_tower_car,180,0.0,0.611,17.087,
TRD-029,TRD,TRD_MAST_REPAIR,OHE00593,MAIN08,111.36,111.36,important,0,2880,105,ohe_team,105,0.0,0.382,13.771,
TRD-030,TRD,TRD_TENSIONING,OHE00649,MAIN09,125.95,125.95,critical,0,1440,105,ohe_tower_car,105,0.0,0.614,18.827,
TRD-031,TRD,TRD_MAST_REPAIR,OHE01180,BRCH04,46.32,46.32,important,0,2880,90,ohe_team,90,0.0,0.568,14.515,
TRD-032,TRD,TRD_MAST_REPAIR,OHE00578,MAIN08,110.65,110.65,important,0,8640,90,ohe_team,90,0.0,0.504,11.045,
TRD-033,TRD,TRD_MAST_REPAIR,OHE00746,MAIN10,144.45,144.45,critical,0,2880,90,ohe_team,90,0.0,0.891,18.307,
TRD-034,TRD,TRD_MAST_REPAIR,OHE00738,MAIN10,145.63,145.63,important,0,7200,75,ohe_team,75,0.0,0.648,12.049,
TRD-035,TRD,TRD_MAST_REPAIR,OHE00066,MAIN01,6.29,6.29,critical,0,1440,75,ohe_team,75,0.0,0.9,17.571,
TRD-036,TRD,TRD_MAST_REPAIR,OHE00227,MAIN03,34.18,34.18,critical,0,2880,75,ohe_team,75,0.0,0.623,16.035,
TRD-037,TRD,TRD_MAST_REPAIR,OHE00895,MAIN11,161.43,161.43,critical,0,4320,75,ohe_team,75,0.0,0.677,15.522,
TRD-038,TRD,TRD_MAST_REPAIR,OHE00219,MAIN03,42.62,42.62,critical,0,2880,75,ohe_team,75,0.0,0.621,16.027,
TRD-039,TRD,TRD_MAST_REPAIR,OHE00736,MAIN10,145.42,145.42,critical,0,1440,75,ohe_team,75,0.0,0.964,16.627,
TRD-040,TRD,TRD_MAST_REPAIR,OHE00148,MAIN02,23.63,23.63,important,0,2880,90,ohe_team,90,0.0,0.592,14.611,
TRD-041,TRD,TRD_MAST_REPAIR,OHE00742,MAIN10,147.8,147.8,critical,0,2880,75,ohe_team,75,0.0,0.733,15.275,
TRD-042,TRD,TRD_TENSIONING,OHE01249,DIV01,109.3,109.3,routine,0,5760,120,ohe_tower_car,120,0.0,0.307,11.014,
TRD-043,TRD,TRD_MAST_REPAIR,OHE00223,MAIN03,36.67,36.67,routine,0,10080,90,ohe_team,90,0.0,0.25,4.7,
TRD-044,TRD,TRD_CONTACT_WIRE,OHE00487,MAIN07,101.47,101.47,routine,0,8640,165,ohe_tower_car,165,0.0,0.098,6.921,
TRD-045,TRD,TRD_MAST_REPAIR,OHE01185,BRCH04,51.33,51.33,critical,0,4320,90,ohe_team,90,0.0,0.867,15.082,
TRD-046,TRD,TRD_MAST_REPAIR,OHE01255,DIV01,116.32,116.32,routine,0,8640,90,ohe_team,90,0.0,0.409,6.965,
TRD-047,TRD,TRD_MAST_REPAIR,OHE01278,DIV01,110.48,110.48,important,0,4320,75,ohe_team,75,0.0,0.569,11.39,
TRD-048,TRD,TRD_MAST_REPAIR,OHE00589,MAIN08,116.54,116.54,critical,0,4320,90,ohe_team,90,0.0,0.496,13.598,
TRD-049,TRD,TRD_MAST_REPAIR,OHE00493,MAIN07,95.81,95.81,routine,0,10080,90,ohe_team,90,0.0,0.263,5.952,
TRD-050,TRD,TRD_MAST_REPAIR,OHE01187,BRCH04,44.22,44.22,important,0,5760,90,ohe_team,90,0.0,0.055,10.106,
TRD-051,TRD,TRD_MAST_REPAIR,OHE01099,BRCH03,40.91,40.91,important,0,7200,90,ohe_team,90,0.0,0.824,12.753,
TRD-052,TRD,TRD_MAST_REPAIR,OHE01107,BRCH03,42.64,42.64,routine,0,10080,90,ohe_team,90,0.0,0.289,6.056,
TRD-053,TRD,TRD_MAST_REPAIR,OHE01191,BRCH04,46.98,46.98,critical,0,1440,90,ohe_team,90,0.0,0.668,16.643,
TRD-054,TRD,TRD_MAST_REPAIR,OHE00510,MAIN07,98.01,98.01,routine,0,8640,90,ohe_team,90,0.0,0.484,7.265,
TRD-055,TRD,TRD_MAST_REPAIR,OHE00230,MAIN03,44.73,44.73,routine,0,10080,90,ohe_team,90,0.0,0.01,4.94,
TRD-056,TRD,TRD_MAST_REPAIR,OHE00435,MAIN06,76.98,76.98,critical,0,4320,90,ohe_team,90,0.0,0.99,16.774,
TRD-057,TRD,TRD_MAST_REPAIR,OHE00137,MAIN02,24.34,24.34,critical,0,4320,105,ohe_team,105,0.0,0.549,12.61,
TRD-058,TRD,TRD_MAST_REPAIR,OHE00951,BRCH01,13.5,13.5,routine,0,8640,75,ohe_team,75,0.0,0.316,5.393,
TRD-059,TRD,TRD_MAST_REPAIR,OHE01037,BRCH02,26.91,26.91,important,0,5760,90,ohe_team,90,0.0,0.648,11.278,
TRD-060,TRD,TRD_TENSIONING,OHE00281,MAIN04,48.08,48.08,critical,0,2880,105,ohe_tower_car,105,0.0,0.866,18.207,
TRD-061,TRD,TRD_MAST_REPAIR,OHE00879,MAIN11,174.64,174.64,important,0,4320,90,ohe_team,90,0.0,0.651,11.718,
TRD-062,TRD,TRD_CONTACT_WIRE,OHE00418,MAIN06,78.32,78.32,routine,0,10080,150,ohe_tower_car,150,0.0,0.722,10.188,
TRD-063,TRD,TRD_MAST_REPAIR,OHE01023,BRCH02,22.52,22.52,routine,0,5760,75,ohe_team,75,0.0,0.61,9.826,
TRD-064,TRD,TRD_MAST_REPAIR,OHE01176,BRCH04,44.22,44.22,routine,0,5760,75,ohe_team,75,0.0,0.668,8.858,
TRD-065,TRD,TRD_MAST_REPAIR,OHE00508,MAIN07,96.32,96.32,routine,0,8640,75,ohe_team,75,0.0,0.189,6.085,
TRD-066,TRD,TRD_MAST_REPAIR,OHE00957,BRCH01,0.71,0.71,important,0,8640,90,ohe_team,90,0.0,0.553,10.041,
TRD-067,TRD,TRD_MAST_REPAIR,OHE00862,MAIN11,173.98,173.98,critical,0,2880,75,ohe_team,75,0.0,0.878,15.855,
TRD-068,TRD,TRD_MAST_REPAIR,OHE00360,MAIN05,71.27,71.27,important,0,5760,75,ohe_team,75,0.0,0.749,11.682,
TRD-069,TRD,TRD_OHE_INSULATOR,OHE00943,BRCH01,2.9,2.9,critical,0,2880,45,ohe_team,45,0.0,0.99,19.903,
TRD-070,TRD,TRD_MAST_REPAIR,OHE00868,MAIN11,179.91,179.91,routine,0,7200,90,ohe_team,90,0.0,0.178,7.669,
TRD-071,TRD,TRD_CONTACT_WIRE,OHE00212,MAIN03,45.07,45.07,important,0,2880,195,ohe_tower_car,195,0.0,0.578,16.955,
TRD-072,TRD,TRD_MAST_REPAIR,OHE01273,DIV01,104.6,104.6,routine,0,10080,75,ohe_team,75,0.0,0.013,6.152,
